# setPoint, prevCurrent, Current
0.000,0.000,0.845
0.000,0.845,0.651
0.000,0.651,0.735
0.000,0.735,0.877
0.000,0.877,0.749
0.000,0.749,0.787
0.000,0.787,0.677
0.000,0.677,0.784
0.000,0.784,0.780
0.000,0.780,0.827
0.000,0.827,0.751
0.000,0.751,0.751
0.000,0.751,0.726
0.000,0.726,0.815
0.000,0.815,0.783
0.000,0.783,0.836
0.000,0.836,0.831
0.000,0.831,0.771
0.000,0.771,0.870
0.000,0.870,0.733
0.000,0.733,0.847
0.000,0.847,0.870
0.000,0.870,0.849
0.000,0.849,0.799
0.000,0.799,0.844
0.000,0.844,0.814
0.000,0.814,0.684
0.000,0.684,0.695
0.000,0.695,0.934
0.000,0.934,0.865
0.000,0.865,0.751
0.000,0.751,0.923
0.000,0.923,0.761
0.000,0.761,0.769
0.000,0.769,0.869
0.000,0.869,0.732
0.000,0.732,0.802
0.000,0.802,0.802
0.000,0.802,0.851
0.000,0.851,0.798
0.000,0.798,0.712
0.000,0.712,0.853
0.000,0.853,0.801
0.000,0.801,0.777
0.000,0.777,0.851
0.000,0.851,0.720
0.000,0.720,0.786
0.000,0.786,0.788
0.000,0.788,0.756
0.000,0.756,0.826
0.000,0.826,0.767
0.000,0.767,0.860
0.000,0.860,0.689
0.000,0.689,0.820
0.000,0.820,0.893
0.000,0.893,0.765
0.000,0.765,0.762
0.000,0.762,0.800
0.000,0.800,0.797
0.000,0.797,0.713
