# setPoint, prevsetPoint, Current
79.00,0.00,93.09
8.00,79.00,1.15
26.00,8.00,17.41
54.00,26.00,57.75
66.00,54.00,72.07
38.00,66.00,40.80
77.00,38.00,86.56
80.00,77.00,91.90
39.00,80.00,42.19
8.00,39.00,3.27
18.00,8.00,8.87
17.00,18.00,10.83
68.00,17.00,76.27
54.00,68.00,61.68
86.00,54.00,99.14
39.00,86.00,43.73
50.00,39.00,55.20
71.00,50.00,83.03
8.00,71.00,2.20
33.00,8.00,28.38
78.00,33.00,90.15
48.00,78.00,54.30
42.00,48.00,48.61
53.00,42.00,59.72
85.00,53.00,97.98
13.00,85.00,7.61
88.00,13.00,101.05
74.00,88.00,88.74
80.00,74.00,94.22
59.00,80.00,71.99
63.00,59.00,74.42
66.00,63.00,77.52
11.00,66.00,6.96
22.00,11.00,15.50
73.00,22.00,83.75
55.00,73.00,64.70
82.00,55.00,93.47
22.00,82.00,19.39
64.00,22.00,71.55
63.00,64.00,72.00
83.00,63.00,96.91
89.00,83.00,103.44
73.00,89.00,87.24
48.00,73.00,56.58
10.00,48.00,5.47
41.00,10.00,38.53
90.00,41.00,104.17
74.00,90.00,90.15
26.00,74.00,23.68
61.00,26.00,68.87
61.00,61.00,70.09
88.00,61.00,102.81
51.00,88.00,60.28
47.00,51.00,54.40
49.00,47.00,55.42
17.00,49.00,13.88
24.00,17.00,18.12
47.00,24.00,47.07
55.00,47.00,59.63
27.00,55.00,25.51
85.00,27.00,96.92
21.00,85.00,17.66
34.00,21.00,31.07
48.00,34.00,48.80
56.00,48.00,60.31
85.00,56.00,97.81
30.00,85.00,30.34
76.00,30.00,87.90
38.00,76.00,41.51
13.00,38.00,6.38
53.00,13.00,56.09
13.00,53.00,9.15
2.00,13.00,-2.13
1.00,2.00,-2.01
98.00,1.00,112.70
96.00,98.00,113.13
75.00,96.00,91.54
14.00,75.00,8.57
20.00,14.00,14.27
83.00,20.00,96.35
31.00,83.00,30.90
19.00,31.00,15.10
62.00,19.00,69.20
32.00,62.00,31.95
10.00,32.00,4.70
8.00,10.00,1.15
95.00,8.00,109.48
54.00,95.00,63.52
78.00,54.00,90.20
8.00,78.00,2.93
32.00,8.00,27.31
42.00,32.00,39.92
24.00,42.00,19.47
5.00,24.00,-0.02
12.00,5.00,3.98
75.00,12.00,85.33
13.00,75.00,7.26
71.00,13.00,80.24
77.00,71.00,86.11
81.00,77.00,93.59
41.00,81.00,46.34
37.00,41.00,40.84
87.00,37.00,101.72
44.00,87.00,50.23
1.00,44.00,-2.50
30.00,1.00,23.43
42.00,30.00,41.01
84.00,42.00,96.76
69.00,84.00,83.08
52.00,69.00,62.36
82.00,52.00,92.67
96.00,82.00,111.96
56.00,96.00,69.34
85.00,56.00,100.38
93.00,85.00,108.96
75.00,93.00,92.55
98.00,75.00,113.09
19.00,98.00,16.39
38.00,19.00,36.92
94.00,38.00,108.16
44.00,94.00,51.41
48.00,44.00,54.98
26.00,48.00,23.86
97.00,26.00,112.42
5.00,97.00,-0.82
76.00,5.00,85.80
27.00,76.00,25.34
10.00,27.00,4.20
73.00,10.00,82.99
9.00,73.00,3.81
75.00,9.00,84.74
2.00,75.00,-1.74
92.00,2.00,105.76
3.00,92.00,-0.96
80.00,3.00,92.73
81.00,80.00,94.62
34.00,81.00,35.50
5.00,34.00,-0.71
75.00,5.00,86.78
60.00,75.00,70.68
74.00,60.00,84.48
70.00,74.00,81.97
15.00,70.00,10.02
0.00,15.00,-2.64
58.00,0.00,63.73
54.00,58.00,59.53
12.00,54.00,5.69
97.00,12.00,111.53
21.00,97.00,17.39
0.00,21.00,-2.44
61.00,0.00,69.29
6.00,61.00,-0.10
33.00,6.00,28.58
86.00,33.00,98.60
90.00,86.00,103.29
50.00,90.00,59.65
38.00,50.00,44.00
4.00,38.00,-0.78
13.00,4.00,4.53
57.00,13.00,63.77
56.00,57.00,61.41
28.00,56.00,26.72
39.00,28.00,41.26
41.00,39.00,41.26
55.00,41.00,61.40
29.00,55.00,29.81
84.00,29.00,95.36
23.00,84.00,20.69
73.00,23.00,83.46
16.00,73.00,12.71
34.00,16.00,30.02
34.00,34.00,31.59
72.00,34.00,81.57
19.00,72.00,15.53
29.00,19.00,25.01
44.00,29.00,44.40
79.00,44.00,90.51
45.00,79.00,53.66
74.00,45.00,83.44
22.00,74.00,20.65
46.00,22.00,48.89
47.00,46.00,50.56
67.00,47.00,75.79
90.00,67.00,105.06
30.00,90.00,31.06
82.00,30.00,95.82
93.00,82.00,107.93
56.00,93.00,68.07
78.00,56.00,92.15
30.00,78.00,32.00
17.00,30.00,13.68
14.00,17.00,10.13
81.00,14.00,93.22
96.00,81.00,111.97
0.00,96.00,-3.09
59.00,0.00,64.32
39.00,59.00,41.10
61.00,39.00,67.44
48.00,61.00,54.09
90.00,48.00,103.49
16.00,90.00,12.77
64.00,16.00,72.54
79.00,64.00,92.32
51.00,79.00,62.40
33.00,51.00,35.66
33.00,33.00,34.14
34.00,33.00,36.48
26.00,34.00,25.29
23.00,26.00,21.15
17.00,23.00,13.84
93.00,17.00,107.54
93.00,93.00,109.74
9.00,93.00,4.97
46.00,9.00,47.99
85.00,46.00,98.20
24.00,85.00,22.77
7.00,24.00,1.44
77.00,7.00,88.89
59.00,77.00,71.88
39.00,59.00,45.02
99.00,39.00,114.98
25.00,99.00,24.00
81.00,25.00,93.47
93.00,81.00,109.53
99.00,93.00,116.01
10.00,99.00,4.14
97.00,10.00,111.44
60.00,97.00,74.53
10.00,60.00,4.33
60.00,10.00,67.24
0.00,60.00,-3.27
25.00,0.00,16.25
89.00,25.00,102.82
73.00,89.00,89.42
30.00,73.00,30.42
13.00,30.00,9.06
1.00,13.00,-2.55
80.00,1.00,92.96
21.00,80.00,16.68
35.00,21.00,33.38
18.00,35.00,14.57
7.00,18.00,1.65
4.00,7.00,-1.86
55.00,4.00,59.79
86.00,55.00,99.06
2.00,86.00,-2.68
28.00,2.00,20.76
87.00,28.00,102.32
57.00,87.00,68.76
37.00,57.00,40.62
0.00,37.00,-2.72
1.00,0.00,-2.59
0.00,1.00,-2.39
5.00,0.00,-2.39
1.00,5.00,-3.03
3.00,1.00,-2.48
0.00,3.00,-2.90
3.00,0.00,-2.44
1.00,3.00,-2.89
4.00,1.00,-2.65
1.00,4.00,-3.31
7.00,1.00,-1.41
6.00,7.00,-2.22
14.00,6.00,3.46
10.00,14.00,0.69
15.00,10.00,4.62
15.00,15.00,4.27
22.00,15.00,13.60
20.00,22.00,12.86
24.00,20.00,16.94
24.00,24.00,15.42
27.00,24.00,18.73
23.00,27.00,15.78
28.00,23.00,19.69
26.00,28.00,19.17
27.00,26.00,19.56
25.00,27.00,17.81
31.00,25.00,24.23
28.00,31.00,21.31
35.00,28.00,30.93
35.00,35.00,32.13
36.00,35.00,32.36
33.00,36.00,29.32
40.00,33.00,37.43
40.00,40.00,37.20
40.00,40.00,38.24
39.00,40.00,38.18
46.00,39.00,47.14
44.00,46.00,44.57
52.00,44.00,55.01
50.00,52.00,53.24
53.00,50.00,57.47
50.00,53.00,54.92
53.00,50.00,55.98
52.00,53.00,55.10
53.00,52.00,58.45
52.00,53.00,56.07
58.00,52.00,64.20
57.00,58.00,63.15
65.00,57.00,71.87
63.00,65.00,72.11
68.00,63.00,78.29
65.00,68.00,75.19
69.00,65.00,80.24
66.00,69.00,77.46
68.00,66.00,77.62
66.00,68.00,77.19
73.00,66.00,84.40
72.00,73.00,83.25
72.00,72.00,83.66
70.00,72.00,82.23
76.00,70.00,88.13
76.00,76.00,89.53
78.00,76.00,92.29
76.00,78.00,90.83
81.00,76.00,94.64
79.00,81.00,93.91
82.00,79.00,94.76
82.00,82.00,96.48
82.00,82.00,97.19
81.00,82.00,96.51
82.00,81.00,97.72
79.00,82.00,95.44
84.00,79.00,97.61
80.00,84.00,98.02
86.00,80.00,101.58
83.00,86.00,100.21
87.00,83.00,102.51
86.00,87.00,102.31
93.00,86.00,110.77
90.00,93.00,111.29
95.00,90.00,112.57
91.00,95.00,110.99
98.00,91.00,116.05
97.00,98.00,117.05
100.00,97.00,118.49
98.00,100.00,120.16
100.00,98.00,119.42
99.00,100.00,118.38
100.00,99.00,119.90
99.00,100.00,117.12
100.00,99.00,120.41
99.00,100.00,119.68
100.00,99.00,119.55
97.00,100.00,117.22
100.00,97.00,120.45
96.00,100.00,117.74
100.00,96.00,119.90
98.00,100.00,119.53
100.00,98.00,120.01
93.00,100.00,114.16
95.00,93.00,118.86
95.00,95.00,115.83
97.00,95.00,118.75
91.00,97.00,114.76
95.00,91.00,116.41
94.00,95.00,116.26
96.00,94.00,117.59
92.00,96.00,115.85
95.00,92.00,117.67
95.00,95.00,116.95
95.00,95.00,115.71
87.00,95.00,111.73
89.00,87.00,113.03
86.00,89.00,109.39
88.00,86.00,111.41
86.00,88.00,110.02
88.00,86.00,109.98
81.00,88.00,106.43
82.00,81.00,105.37
76.00,82.00,98.72
76.00,76.00,98.84
72.00,76.00,94.56
74.00,72.00,94.38
68.00,74.00,89.06
71.00,68.00,92.34
64.00,71.00,82.67
68.00,64.00,86.09
62.00,68.00,81.50
66.00,62.00,82.09
64.00,66.00,83.74
68.00,64.00,86.47
62.00,68.00,81.21
66.00,62.00,83.32
65.00,66.00,83.04
66.00,65.00,82.99
64.00,66.00,83.25
65.00,64.00,82.87
65.00,65.00,83.07
65.00,65.00,83.02
61.00,65.00,79.72
64.00,61.00,81.30
60.00,64.00,80.57
61.00,60.00,78.64
58.00,61.00,76.19
60.00,58.00,76.95
60.00,60.00,76.91
61.00,60.00,78.21
56.00,61.00,73.29
59.00,56.00,75.08
54.00,59.00,69.07
57.00,54.00,71.89
52.00,57.00,66.70
52.00,52.00,66.85
48.00,52.00,63.03
52.00,48.00,64.72
49.00,52.00,60.80
50.00,49.00,63.43
45.00,50.00,56.57
46.00,45.00,58.74
45.00,46.00,56.69
45.00,45.00,56.34
43.00,45.00,53.56
46.00,43.00,55.96
38.00,46.00,45.86
39.00,38.00,47.50
37.00,39.00,43.34
40.00,37.00,46.55
34.00,40.00,39.24
35.00,34.00,42.76
33.00,35.00,38.35
34.00,33.00,39.01
31.00,34.00,34.21
33.00,31.00,34.73
32.00,33.00,34.40
33.00,32.00,36.66
32.00,33.00,35.05
36.00,32.00,38.70
33.00,36.00,35.77
34.00,33.00,36.65
26.00,34.00,26.79
29.00,26.00,30.80
24.00,29.00,22.25
24.00,24.00,22.03
23.00,24.00,21.93
24.00,23.00,21.61
18.00,24.00,14.94
22.00,18.00,18.43
18.00,22.00,15.20
22.00,18.00,16.81
22.00,22.00,17.31
24.00,22.00,18.57
23.00,24.00,19.50
26.00,23.00,21.49
21.00,26.00,18.30
22.00,21.00,17.60
20.00,22.00,16.94
21.00,20.00,17.08
15.00,21.00,13.35
19.00,15.00,14.49
