# TimeStamp (s), BrakeCommand (%), Actual Brake Torque (%), Motor Current (A), Motor Speed (%)
0.00,0.00,41.30,2.76,15.17
0.02,0.00,30.40,2.82,15.19
0.03,0.00,13.10,1.98,15.19
0.05,0.00,-0.50,1.92,15.32
0.06,0.00,0.00,1.02,15.51
nan,nan,nan,nan,nan
0.08,0.00,-1.00,0.96,15.80
0.10,0.00,0.60,0.90,15.99
0.12,0.00,-1.00,0.96,16.23
0.13,0.00,-1.00,1.02,16.44
nan,nan,nan,nan,nan
0.15,0.00,-0.50,0.96,16.61
0.16,0.00,1.70,0.90,16.80
0.18,0.00,-1.00,0.72,17.14
nan,nan,nan,nan,nan
0.20,0.00,-1.00,1.08,17.25
0.22,0.00,-1.00,1.08,17.39
0.23,0.00,-1.00,0.96,17.52
0.25,0.00,-3.70,0.90,17.63
0.26,0.00,1.10,1.02,17.82
nan,nan,nan,nan,nan
0.29,0.00,0.60,0.96,17.86
0.30,0.00,1.10,0.84,18.03
0.32,0.00,-2.70,0.90,18.12
0.33,0.00,-1.60,0.90,18.18
nan,nan,nan,nan,nan
0.35,0.00,-0.50,1.02,18.24
0.36,0.00,-1.60,0.66,18.39
0.39,0.00,0.60,0.96,18.48
nan,nan,nan,nan,nan
0.40,0.00,-1.60,1.14,18.52
0.42,0.00,1.70,1.02,18.65
0.43,0.00,0.00,1.02,18.58
0.45,0.00,-1.60,0.84,18.73
0.46,0.00,-0.50,1.02,18.75
nan,nan,nan,nan,nan
0.49,0.00,0.00,0.84,18.77
0.50,0.00,-0.50,1.08,18.80
0.52,0.00,-0.50,1.02,18.92
0.53,0.00,0.60,1.02,18.92
nan,nan,nan,nan,nan
0.55,0.00,0.60,0.90,18.94
0.56,0.00,-2.10,1.20,18.94
0.59,0.00,0.00,0.84,19.07
nan,nan,nan,nan,nan
0.60,0.00,1.10,1.02,19.07
0.62,0.00,-1.60,0.78,19.07
0.63,0.00,1.70,1.14,19.07
0.65,0.00,3.30,0.84,19.07
0.66,0.00,0.60,1.02,19.07
nan,nan,nan,nan,nan
0.69,0.00,0.00,1.08,19.16
0.70,0.00,-1.00,1.02,19.16
0.72,0.00,2.80,0.96,19.16
0.73,0.00,-0.50,1.08,19.13
nan,nan,nan,nan,nan
0.75,0.00,0.60,0.90,19.24
0.76,0.00,-1.00,1.02,19.22
0.79,0.00,2.20,1.02,19.30
nan,nan,nan,nan,nan
0.80,0.00,0.60,0.96,19.20
0.82,0.00,-0.50,0.90,19.28
0.83,0.00,-1.60,1.08,19.26
0.85,0.00,0.60,0.96,19.35
0.86,0.00,2.20,0.90,19.35
nan,nan,nan,nan,nan
0.89,0.00,-1.60,1.02,19.33
0.90,0.00,-0.50,0.96,19.30
0.92,0.00,0.00,0.72,19.28
nan,nan,nan,nan,nan
0.93,0.00,1.70,1.02,19.37
0.95,0.00,-1.00,1.08,19.35
0.96,0.00,-1.00,0.78,19.35
nan,nan,nan,nan,nan
0.99,0.00,-0.50,0.90,19.30
1.00,0.00,-0.50,1.08,19.39
1.02,0.00,-2.10,1.02,19.39
1.03,0.00,0.60,0.78,19.37
1.05,0.00,-1.60,0.84,19.35
1.06,0.00,1.70,1.02,19.33
nan,nan,nan,nan,nan
1.09,0.00,1.70,1.02,19.39
1.10,0.00,1.10,1.08,19.37
1.12,0.00,-0.50,1.02,19.35
nan,nan,nan,nan,nan
1.13,0.00,0.60,0.96,19.35
1.15,0.00,0.60,0.96,19.41
1.17,0.00,1.10,0.96,19.39
nan,nan,nan,nan,nan
1.19,0.00,-1.00,1.02,19.37
1.20,0.00,2.20,1.02,19.35
1.22,0.00,-0.50,0.90,19.43
1.23,0.00,0.60,1.08,19.41
1.25,0.00,2.80,0.90,19.39
1.27,0.00,1.70,0.96,19.37
nan,nan,nan,nan,nan
1.29,0.00,-1.60,1.08,19.33
1.30,0.00,-1.00,0.84,19.41
1.32,0.00,-1.00,0.90,19.39
nan,nan,nan,nan,nan
1.33,0.00,1.70,1.02,19.37
1.35,0.00,1.10,1.02,19.35
1.37,0.00,1.10,1.08,19.43
nan,nan,nan,nan,nan
1.39,0.00,-1.00,1.02,19.39
1.40,0.00,-0.50,0.78,19.37
1.42,0.00,0.00,0.72,19.35
1.43,0.00,0.60,1.08,19.43
1.45,0.00,2.20,1.02,19.41
1.47,0.00,0.00,0.96,19.39
nan,nan,nan,nan,nan
1.49,0.00,0.00,1.08,19.35
1.50,0.00,0.00,0.96,19.33
1.52,0.00,0.00,0.96,19.41
nan,nan,nan,nan,nan
1.54,0.00,0.60,0.90,19.39
1.55,0.00,0.00,1.02,19.37
1.57,0.00,-1.60,1.02,19.35
nan,nan,nan,nan,nan
1.59,0.00,0.00,0.84,19.41
1.60,0.00,0.00,0.66,19.39
1.62,0.00,-0.50,0.90,19.37
1.63,0.00,-0.50,0.96,19.35
1.65,0.00,-1.60,0.54,19.43
1.67,0.00,0.00,0.84,19.41
nan,nan,nan,nan,nan
1.69,0.00,0.00,0.96,19.37
1.70,0.00,0.00,1.02,19.45
1.72,0.00,0.60,0.96,19.43
nan,nan,nan,nan,nan
1.73,0.00,-0.50,0.96,19.41
1.75,0.00,-23.40,0.96,19.39
1.77,0.00,0.00,1.02,19.37
nan,nan,nan,nan,nan
1.79,0.00,1.10,1.02,19.43
1.80,0.00,2.20,0.90,19.41
1.82,0.00,0.60,1.14,19.39
1.83,0.00,-0.50,0.72,19.37
1.85,0.00,-1.00,1.08,19.35
1.87,0.00,0.00,1.02,19.43
nan,nan,nan,nan,nan
1.89,0.00,2.20,0.84,19.39
1.90,0.00,1.10,0.96,19.37
1.92,0.00,1.10,0.90,19.45
nan,nan,nan,nan,nan
1.93,0.00,0.00,0.90,19.43
1.95,0.00,-1.00,0.84,19.41
1.97,0.00,-1.00,0.96,19.39
nan,nan,nan,nan,nan
1.99,0.00,0.00,0.84,19.35
2.00,0.00,2.20,1.08,19.43
2.02,0.00,1.70,0.96,19.41
2.03,0.00,1.10,1.02,19.39
2.05,0.00,1.10,0.78,19.37
2.07,0.00,-2.70,1.02,19.45
nan,nan,nan,nan,nan
2.09,0.00,2.80,1.08,19.41
2.10,0.00,-0.50,0.78,19.39
2.12,0.00,0.00,0.72,19.37
nan,nan,nan,nan,nan
2.13,0.00,-1.00,0.54,19.35
2.15,0.00,1.70,0.96,19.43
2.17,0.00,-0.50,0.96,19.41
nan,nan,nan,nan,nan
2.19,0.00,-0.50,1.02,19.37
2.20,0.00,-2.10,0.90,19.35
2.22,0.00,-1.00,0.96,19.43
2.23,0.00,-2.70,0.84,19.41
2.25,0.00,-2.10,0.84,19.39
2.27,0.00,0.00,0.60,19.37
nan,nan,nan,nan,nan
2.29,0.00,-2.70,1.14,19.43
2.30,0.00,-1.00,1.02,19.41
2.32,0.00,-0.50,1.14,19.39
nan,nan,nan,nan,nan
2.34,0.00,2.20,0.96,19.37
2.35,0.00,0.60,1.08,19.35
2.37,0.00,-1.00,0.84,19.41
nan,nan,nan,nan,nan
2.39,0.00,0.60,0.72,19.39
2.40,0.00,-4.80,0.66,19.37
2.42,0.00,0.00,0.96,19.45
2.44,0.00,0.00,1.02,19.41
2.45,0.00,-1.60,1.14,19.39
nan,nan,nan,nan,nan
2.47,0.00,3.30,0.54,19.37
2.49,0.00,-2.10,0.90,19.43
2.50,0.00,-1.00,1.02,19.41
2.52,0.00,-1.00,0.72,19.39
nan,nan,nan,nan,nan
2.54,0.00,1.10,1.02,19.47
2.55,0.00,-1.60,1.08,19.45
2.57,0.00,-3.20,1.14,19.43
nan,nan,nan,nan,nan
2.59,0.00,1.10,0.90,19.39
2.60,0.00,-0.50,0.84,19.37
2.62,0.00,0.60,0.66,19.45
2.64,0.00,1.10,0.96,19.43
2.65,0.00,1.70,1.08,19.39
nan,nan,nan,nan,nan
2.67,0.00,0.00,1.02,19.39
2.69,0.00,1.70,0.84,19.45
2.70,0.00,0.00,0.90,19.41
nan,nan,nan,nan,nan
2.72,0.00,-2.10,1.02,19.39
2.74,0.00,0.00,0.84,19.37
2.75,0.00,0.00,0.90,19.45
2.77,0.00,-0.50,0.90,19.43
nan,nan,nan,nan,nan
2.79,0.00,0.00,1.02,19.39
2.81,0.00,1.70,1.02,19.37
2.82,0.00,-2.10,0.90,19.35
2.84,0.00,4.40,0.90,19.43
2.85,0.00,-1.60,0.84,19.39
nan,nan,nan,nan,nan
2.87,0.00,0.60,0.90,19.47
2.89,0.00,0.60,0.72,19.45
2.91,0.00,-1.00,0.78,19.41
nan,nan,nan,nan,nan
2.92,0.00,1.70,0.72,19.39
2.94,0.00,-1.60,0.90,19.47
2.95,0.00,-1.60,1.08,19.45
2.97,0.00,1.70,0.90,19.43
nan,nan,nan,nan,nan
2.99,0.00,0.00,0.96,19.39
3.01,6.80,2.80,1.08,19.47
3.02,6.80,7.10,1.08,19.45
3.04,6.80,5.50,1.02,19.39
3.05,6.80,7.10,0.90,19.39
nan,nan,nan,nan,nan
3.07,6.80,7.60,1.02,19.37
3.09,6.80,3.30,0.84,19.43
3.11,6.80,10.90,0.78,19.41
nan,nan,nan,nan,nan
3.12,6.80,6.60,0.90,19.39
3.14,6.80,5.50,1.08,19.35
3.15,6.80,9.30,1.02,19.35
3.17,6.80,6.00,0.90,19.33
nan,nan,nan,nan,nan
3.19,6.80,7.10,0.90,19.30
3.21,6.80,6.00,1.08,19.39
3.22,6.80,6.60,0.96,19.28
3.24,6.80,7.60,1.02,19.35
3.25,6.80,7.10,1.02,19.35
nan,nan,nan,nan,nan
3.27,6.80,4.90,1.08,19.33
3.29,6.80,6.60,0.78,19.30
3.31,6.80,5.50,1.14,19.28
nan,nan,nan,nan,nan
3.32,6.80,9.30,1.02,19.26
3.34,6.80,7.60,0.96,19.35
3.35,6.80,8.20,0.90,19.24
3.37,6.80,4.40,0.96,19.33
nan,nan,nan,nan,nan
3.39,6.80,6.60,1.08,19.30
3.41,6.80,4.40,0.90,19.28
3.42,6.80,8.20,1.08,19.26
3.44,6.80,4.90,0.90,19.26
nan,nan,nan,nan,nan
3.45,6.80,6.00,1.08,19.24
3.47,6.80,4.90,0.96,19.24
3.49,6.80,8.20,1.02,19.22
nan,nan,nan,nan,nan
3.51,6.80,8.20,1.08,19.30
3.52,6.80,8.70,0.72,19.28
3.54,6.80,6.60,0.90,19.28
3.55,6.80,6.60,1.02,19.26
3.57,6.80,7.10,1.02,19.24
nan,nan,nan,nan,nan
3.59,6.80,8.70,1.02,19.24
3.61,6.80,8.20,1.08,19.22
3.62,6.80,6.60,1.14,19.33
3.64,6.80,6.60,1.14,19.30
nan,nan,nan,nan,nan
3.65,6.80,4.90,1.08,19.28
3.67,6.80,7.10,1.14,19.28
3.69,6.80,7.10,1.02,19.26
nan,nan,nan,nan,nan
3.71,6.80,6.60,0.96,19.24
3.72,6.80,6.00,1.08,19.24
3.74,6.80,6.00,1.08,19.22
3.75,6.80,6.00,0.90,19.22
3.77,6.80,6.00,0.72,19.20
nan,nan,nan,nan,nan
3.79,6.80,5.50,1.08,19.28
3.81,6.80,4.90,0.96,19.26
3.82,6.80,6.00,0.96,19.26
3.84,6.80,5.50,1.02,19.24
nan,nan,nan,nan,nan
3.85,6.80,9.80,1.08,19.24
3.87,6.80,7.60,0.90,19.24
3.89,6.80,7.10,0.84,19.22
nan,nan,nan,nan,nan
3.91,6.80,8.20,1.08,19.20
3.92,6.80,6.00,1.02,19.30
3.94,6.80,7.10,0.78,19.28
3.96,6.80,8.20,1.02,19.26
3.97,6.80,8.20,0.96,19.26
nan,nan,nan,nan,nan
3.99,6.80,6.60,0.78,19.24
4.01,6.80,5.50,1.02,19.24
4.02,6.80,7.10,0.96,19.22
4.04,6.80,6.60,1.02,19.22
nan,nan,nan,nan,nan
4.06,6.80,6.60,1.02,19.30
4.07,6.80,6.00,1.08,19.20
4.09,6.80,7.10,1.02,19.26
nan,nan,nan,nan,nan
4.11,6.80,7.10,0.90,19.26
4.12,6.80,7.10,1.02,19.24
4.14,6.80,7.10,1.02,19.24
4.16,6.80,6.00,1.08,19.22
4.17,6.80,8.20,0.96,19.22
nan,nan,nan,nan,nan
4.19,6.80,6.60,1.02,19.20
4.21,6.80,6.00,1.08,19.28
4.22,6.80,6.60,0.96,19.28
4.24,6.80,4.90,1.02,19.26
nan,nan,nan,nan,nan
4.26,6.80,8.20,0.84,19.26
4.27,6.80,9.80,0.78,19.24
4.29,6.80,8.20,1.02,19.22
nan,nan,nan,nan,nan
4.31,6.80,6.00,1.14,19.22
4.32,6.80,7.60,1.02,19.22
4.34,6.80,6.00,1.08,19.30
4.36,6.80,6.00,1.02,19.28
4.37,6.80,7.10,1.02,19.28
nan,nan,nan,nan,nan
4.39,6.80,9.80,0.84,19.26
4.41,6.80,4.90,1.08,19.24
4.42,6.80,6.60,0.90,19.24
nan,nan,nan,nan,nan
4.44,6.80,6.60,1.02,19.22
4.46,6.80,7.60,1.02,19.30
4.47,6.80,7.60,1.08,19.30
nan,nan,nan,nan,nan
4.49,6.80,6.00,1.08,19.18
4.51,6.80,7.10,1.02,19.28
4.53,6.80,8.20,1.08,19.26
4.54,6.80,7.10,1.02,19.24
4.56,6.80,8.70,1.02,19.24
4.57,6.80,6.60,1.02,19.22
nan,nan,nan,nan,nan
4.59,6.80,6.00,1.02,19.30
4.61,6.80,6.60,1.02,19.20
4.63,6.80,6.60,0.90,19.28
nan,nan,nan,nan,nan
4.64,6.80,8.70,1.02,19.26
4.66,6.80,6.60,1.08,19.26
4.67,6.80,7.10,1.02,19.24
nan,nan,nan,nan,nan
4.69,6.80,6.00,1.02,19.24
4.71,6.80,7.60,1.02,19.22
4.73,6.80,7.10,1.02,19.20
4.74,6.80,6.00,0.84,19.30
4.76,6.80,7.10,1.02,19.28
4.77,6.80,6.00,1.08,19.28
nan,nan,nan,nan,nan
4.79,6.80,8.20,1.02,19.26
4.81,6.80,6.00,1.02,19.24
4.83,6.80,6.60,0.90,19.24
nan,nan,nan,nan,nan
4.84,6.80,7.60,1.08,19.22
4.86,6.80,6.60,0.84,19.22
4.87,6.80,6.60,0.72,19.22
nan,nan,nan,nan,nan
4.89,6.80,6.60,0.96,19.30
4.91,6.80,4.90,1.08,19.18
4.93,6.80,6.60,1.08,19.26
4.94,6.80,6.00,1.02,19.26
4.96,6.80,7.60,1.08,19.24
4.97,6.80,5.50,1.08,19.24
nan,nan,nan,nan,nan
5.00,6.80,6.00,1.08,19.22
5.01,6.80,7.10,1.02,19.22
5.03,6.80,7.10,0.96,19.20
nan,nan,nan,nan,nan
5.04,6.80,6.00,0.96,19.20
5.06,6.80,8.20,0.96,19.28
5.07,6.80,5.50,0.96,19.26
nan,nan,nan,nan,nan
5.10,6.80,6.60,1.02,19.24
5.11,6.80,7.10,1.02,19.24
5.13,6.80,8.70,1.08,19.22
5.14,6.80,6.60,0.66,19.22
5.16,6.80,3.80,0.90,19.22
nan,nan,nan,nan,nan
5.17,6.80,3.30,1.08,19.20
5.20,6.80,8.20,0.96,19.28
5.21,6.80,9.30,0.96,19.18
nan,nan,nan,nan,nan
5.23,6.80,3.80,0.84,19.26
5.24,6.80,7.10,1.08,19.26
5.26,6.80,6.60,0.96,19.24
5.27,6.80,9.30,0.90,19.24
nan,nan,nan,nan,nan
5.30,6.80,7.60,0.90,19.22
5.31,6.80,6.00,1.02,19.22
5.33,6.80,7.60,0.96,19.20
5.34,6.80,5.50,1.08,19.20
5.36,6.80,6.00,0.90,19.20
nan,nan,nan,nan,nan
5.37,6.80,7.10,1.02,19.18
5.40,6.80,7.10,1.14,19.26
5.41,6.80,8.20,1.02,19.26
nan,nan,nan,nan,nan
5.43,6.80,5.50,1.08,19.24
5.44,6.80,6.60,0.84,19.24
5.46,6.80,2.80,1.02,19.22
5.47,6.80,6.60,1.02,19.22
nan,nan,nan,nan,nan
5.50,6.80,8.70,1.02,19.20
5.51,6.80,8.70,0.84,19.20
5.53,6.80,5.50,1.08,19.28
5.54,6.80,8.20,0.90,19.18
5.56,6.80,6.60,0.90,19.26
nan,nan,nan,nan,nan
5.57,6.80,7.10,0.72,19.26
5.60,6.80,6.00,0.90,19.24
5.61,6.80,7.60,1.02,19.22
nan,nan,nan,nan,nan
5.63,6.80,5.50,1.14,19.22
5.64,6.80,6.00,1.02,19.20
5.66,6.80,7.10,1.08,19.20
5.67,6.80,6.60,1.02,19.20
nan,nan,nan,nan,nan
5.70,6.80,7.10,1.14,19.18
5.71,6.80,4.90,0.96,19.26
5.73,6.80,6.60,1.02,19.26
5.74,6.80,6.60,1.02,19.24
5.76,6.80,4.90,1.08,19.22
nan,nan,nan,nan,nan
5.77,6.80,8.20,0.96,19.22
5.80,6.80,7.10,0.96,19.22
5.81,6.80,6.60,1.02,19.20
nan,nan,nan,nan,nan
5.83,6.80,6.60,1.02,19.20
5.84,6.80,6.60,1.02,19.18
5.86,6.80,7.60,0.96,19.18
5.87,6.80,7.60,1.02,19.26
nan,nan,nan,nan,nan
5.90,6.80,7.10,1.02,19.24
5.91,6.80,6.60,1.08,19.24
5.93,6.80,4.90,0.66,19.22
5.94,6.80,6.60,1.02,19.22
5.96,6.80,8.20,1.08,19.20
nan,nan,nan,nan,nan
5.98,6.80,7.10,1.08,19.20
6.00,6.80,7.60,0.96,19.18
6.01,13.60,7.60,0.96,19.28
nan,nan,nan,nan,nan
6.03,13.60,15.20,0.96,19.26
6.04,13.60,14.20,1.02,19.24
6.06,13.60,13.60,1.08,19.24
6.07,13.60,13.10,1.08,19.22
nan,nan,nan,nan,nan
6.10,13.60,12.00,1.08,19.22
6.11,13.60,13.10,0.96,19.22
6.13,13.60,14.70,0.96,19.11
6.14,13.60,11.40,0.90,19.11
6.16,13.60,13.10,0.96,19.11
nan,nan,nan,nan,nan
6.18,13.60,14.70,1.08,19.09
6.20,13.60,12.00,0.96,19.09
6.21,13.60,12.00,1.02,19.09
