# setPoint, prevCurrent, Current
40.700,0.999,2.667
18.700,2.667,1.410
10.700,1.410,0.956
74.100,0.956,5.909
30.300,5.909,2.194
34.600,2.194,2.436
65.400,2.436,4.965
33.100,4.965,2.379
64.200,2.379,4.903
91.800,4.903,7.723
73.100,7.723,6.244
21.500,6.244,1.528
51.000,1.528,3.638
36.000,3.638,2.678
36.700,2.678,2.618
59.600,2.618,4.516
28.100,4.516,2.085
93.900,2.085,7.981
70.600,7.981,5.995
51.500,5.995,4.237
87.300,4.237,7.397
97.400,7.397,8.617
94.700,8.617,8.253
97.600,8.253,8.487
20.400,8.487,1.460
38.400,1.460,2.565
82.500,2.565,6.775
93.000,6.775,8.104
43.300,8.104,3.387
61.700,3.387,4.795
9.200,4.795,0.857
91.800,0.857,7.763
67.200,7.763,5.660
79.200,5.660,6.570
11.500,6.570,1.105
99.000,1.105,8.506
57.700,8.506,4.788
54.400,4.788,4.448
5.600,4.448,0.710
81.700,0.710,6.770
54.200,6.770,4.312
8.400,4.312,0.871
74.300,0.871,5.850
67.800,5.850,5.548
30.600,5.548,2.109
51.200,2.109,3.743
90.200,3.743,7.623
48.600,7.623,3.849
60.600,3.849,4.736
31.700,4.736,2.303
7.900,2.303,0.776
21.400,0.776,1.388
91.100,1.388,7.682
71.300,7.682,6.060
65.900,6.060,5.498
81.800,5.498,6.843
26.200,6.843,1.784
2.100,1.784,0.664
48.300,0.664,3.411
64.000,3.411,4.923
42.900,4.923,3.162
65.800,3.162,5.059
12.700,5.059,1.093
48.700,1.093,3.489
91.000,3.489,7.748
27.500,7.748,2.027
48.000,2.027,3.486
18.000,3.486,1.460
51.300,1.460,3.651
77.500,3.651,6.280
0.100,6.280,0.634
0.400,0.634,0.656
5.900,0.656,0.695
2.500,0.695,0.659
12.300,0.659,0.779
42.100,0.779,2.751
70.800,2.751,5.541
32.300,5.541,2.343
74.900,2.343,5.837
25.700,5.837,1.738
98.100,1.738,8.548
5.900,8.548,0.764
15.400,0.764,1.016
26.500,1.016,1.551
53.700,1.551,3.887
79.100,3.887,6.546
79.600,6.546,6.467
51.600,6.467,4.214
45.700,4.214,3.558
78.400,3.558,6.380
37.100,6.380,2.672
69.300,2.672,5.639
66.600,5.639,5.288
39.900,5.288,3.091
32.000,3.091,2.441
96.600,2.441,8.426
61.300,8.426,5.306
2.500,5.306,0.683
5.800,0.683,0.698
55.400,0.698,4.033
55.000,4.033,3.947
31.100,3.947,2.333
10.100,2.333,0.919
0.300,0.919,0.700
17.100,0.700,1.041
70.600,1.041,5.566
24.600,5.566,1.680
34.200,1.680,2.289
68.400,2.289,5.320
11.800,5.320,1.109
8.500,1.109,0.840
35.100,0.840,2.314
62.900,2.314,4.884
62.500,4.884,4.715
22.600,4.715,1.543
35.500,1.543,2.365
95.900,2.365,8.385
74.100,8.385,6.419
8.200,6.419,0.812
96.800,0.812,8.229
41.000,8.229,3.066
41.900,3.066,3.115
3.000,3.115,0.646
30.700,0.646,1.908
78.600,1.908,6.507
88.500,6.507,7.487
19.300,7.487,1.468
94.500,1.468,8.002
97.000,8.002,8.422
13.000,8.422,1.193
37.700,1.193,2.393
84.400,2.393,6.962
5.100,6.962,0.702
67.500,0.702,5.242
29.500,5.242,2.067
50.700,2.067,3.575
46.000,3.575,3.305
18.700,3.305,1.455
85.400,1.455,7.024
1.300,7.024,0.618
19.300,0.618,1.229
55.800,1.229,4.054
76.200,4.054,6.283
80.600,6.283,6.654
38.900,6.654,2.836
97.600,2.836,8.400
55.100,8.400,4.572
93.400,4.572,7.927
59.000,7.927,5.010
58.100,5.010,4.930
61.300,4.930,5.132
21.200,5.132,1.572
93.200,1.572,7.895
58.500,7.895,4.943
9.000,4.943,0.909
91.100,0.909,7.759
42.100,7.759,3.294
3.400,3.294,0.686
30.900,0.686,1.796
46.100,1.796,3.183
65.400,3.183,4.979
98.900,4.979,8.580
27.200,8.580,1.970
3.200,1.970,0.669
70.200,0.669,5.577
32.700,5.577,2.348
94.300,2.348,8.029
69.700,8.029,5.937
60.600,5.937,5.059
25.600,5.059,1.811
84.300,1.811,7.115
8.800,7.115,0.872
74.300,0.872,5.958
