# setPoint, prevCurrent, Current
0.000,0.000,0.511
1000.000,0.511,8.153
0.000,8.153,0.562
1000.000,0.562,8.456
0.000,8.456,0.610
1000.000,0.610,8.507
0.000,8.507,0.603
1000.000,0.603,8.567
0.000,8.567,0.615
1000.000,0.615,8.407
0.000,8.407,0.611
1000.000,0.611,8.538
0.000,8.538,0.600
1000.000,0.600,8.569
0.000,8.569,0.631
1000.000,0.631,8.510
0.000,8.510,0.630
1000.000,0.630,8.550
0.000,8.550,0.613
1000.000,0.613,8.563
0.000,8.563,0.651
1000.000,0.651,8.558
0.000,8.558,0.629
1000.000,0.629,8.476
0.000,8.476,0.596
1000.000,0.596,8.501
0.000,8.501,0.608
1000.000,0.608,8.447
0.000,8.447,0.620
1000.000,0.620,8.644
0.000,8.644,0.630
1000.000,0.630,8.505
0.000,8.505,0.591
1000.000,0.591,8.522
0.000,8.522,0.640
1000.000,0.640,8.559
0.000,8.559,0.591
1000.000,0.591,8.588
0.000,8.588,0.577
1000.000,0.577,8.495
0.000,8.495,0.578
1000.000,0.578,8.539
0.000,8.539,0.609
1000.000,0.609,8.499
0.000,8.499,0.628
1000.000,0.628,8.517
0.000,8.517,0.647
1000.000,0.647,8.589
0.000,8.589,0.635
1000.000,0.635,8.613
0.000,8.613,0.598
1000.000,0.598,8.564
0.000,8.564,0.594
1000.000,0.594,8.503
0.000,8.503,0.595
1000.000,0.595,8.545
0.000,8.545,0.650
1000.000,0.650,8.596
0.000,8.596,0.612
1000.000,0.612,8.601
0.000,8.601,0.655
1000.000,0.655,8.566
0.000,8.566,0.668
1000.000,0.668,8.520
0.000,8.520,0.602
1000.000,0.602,8.615
0.000,8.615,0.657
1000.000,0.657,8.539
0.000,8.539,0.622
1000.000,0.622,8.534
0.000,8.534,0.620
1000.000,0.620,8.542
0.000,8.542,0.619
1000.000,0.619,8.505
0.000,8.505,0.624
1000.000,0.624,8.504
0.000,8.504,0.611
1000.000,0.611,8.487
0.000,8.487,0.686
1000.000,0.686,8.617
0.000,8.617,0.627
1000.000,0.627,8.593
0.000,8.593,0.621
1000.000,0.621,8.665
0.000,8.665,0.620
1000.000,0.620,8.589
0.000,8.589,0.649
1000.000,0.649,8.662
0.000,8.662,0.639
1000.000,0.639,8.636
0.000,8.636,0.636
1000.000,0.636,8.593
0.000,8.593,0.602
1000.000,0.602,8.491
0.000,8.491,0.618
1000.000,0.618,8.509
0.000,8.509,0.625
1000.000,0.625,8.646
0.000,8.646,0.615
1000.000,0.615,8.617
