# Actual Command, Previous Torque, Measured Torque, Predicted Command
86.000,0.000,6.710,10.448
85.700,6.710,6.615,10.299
93.300,6.615,7.420,11.546
92.700,7.420,7.604,11.825
6.000,7.604,0.666,-0.163
4.100,0.666,0.664,-0.167
87.500,0.664,7.102,11.058
2.000,7.102,0.586,-0.319
71.700,0.586,5.456,8.433
4.000,5.456,0.625,-0.243
9.600,0.625,0.766,0.031
62.000,0.766,4.540,6.900
72.000,4.540,5.533,8.560
48.600,5.533,3.597,5.267
41.900,3.597,2.955,4.123
75.100,2.955,5.678,8.797
94.500,5.678,7.828,12.163
54.900,7.828,4.325,6.533
95.500,4.325,8.084,12.545
0.100,8.084,0.623,-0.247
50.800,0.623,3.372,4.869
42.700,3.372,2.787,3.819
98.100,2.787,8.080,12.539
24.000,8.080,1.535,1.502
93.300,1.535,7.835,12.173
94.600,7.835,7.847,12.191
7.900,7.847,0.740,-0.019
0.400,0.740,0.667,-0.161
33.400,0.667,1.854,2.102
22.000,1.854,1.318,1.091
24.200,1.318,1.412,1.269
51.900,1.412,3.595,5.263
62.500,3.595,4.537,6.895
46.500,4.537,3.235,4.625
16.200,3.235,1.153,0.776
15.900,1.153,1.107,0.688
21.600,1.107,1.192,0.850
70.900,1.192,5.508,8.519
7.900,5.508,0.761,0.021
29.000,0.761,1.555,1.540
18.600,1.555,1.133,0.737
24.000,1.133,1.381,1.210
63.200,1.381,4.734,7.229
31.800,4.734,2.128,2.612
33.800,2.128,2.204,2.752
44.600,2.204,2.912,4.045
18.900,2.912,1.297,1.051
52.800,1.297,3.615,5.298
73.600,3.615,5.755,8.923
85.700,5.755,7.060,10.993
6.500,7.060,0.719,-0.060
58.200,0.719,4.141,6.216
10.400,4.141,0.768,0.035
39.600,0.768,2.379,3.075
7.000,2.379,0.729,-0.041
33.800,0.729,2.006,2.385
83.300,2.006,6.698,10.429
22.800,6.698,1.382,1.212
54.000,1.382,3.630,5.325
27.400,3.630,1.755,1.916
51.800,1.755,3.457,5.019
4.500,3.457,0.676,-0.144
85.000,0.676,7.028,10.943
41.900,7.028,3.019,4.238
60.500,3.019,4.437,6.724
14.600,4.437,1.035,0.550
45.200,1.035,2.958,4.128
45.200,2.958,3.000,4.204
51.800,3.000,3.560,5.201
54.500,3.560,3.856,5.721
97.700,3.856,8.196,12.711
10.400,8.196,0.801,0.099
52.000,0.801,3.493,5.083
72.900,3.493,5.682,8.804
38.200,5.682,2.671,3.609
70.500,2.671,5.419,8.372
33.100,5.419,2.191,2.728
91.000,2.191,7.551,11.745
11.000,7.551,0.860,0.213
67.000,0.860,5.054,7.767
61.100,5.054,4.646,7.080
25.100,4.646,1.680,1.775
74.700,1.680,5.756,8.924
16.500,5.756,1.096,0.667
53.100,1.096,3.645,5.351
20.000,3.645,1.291,1.039
33.800,1.291,2.123,2.602
49.500,2.123,3.361,4.849
52.300,3.361,3.614,5.297
1.800,3.614,0.614,-0.264
55.200,0.614,3.792,5.609
55.000,3.792,3.915,5.824
44.800,3.915,3.163,4.496
56.500,3.163,4.063,6.081
67.500,4.063,5.156,7.937
99.900,5.156,8.403,13.016
33.000,8.403,2.123,2.602
38.600,2.123,2.515,3.324
24.800,2.515,1.677,1.770
96.700,1.677,8.211,12.733
