# Actual Command, Previous Torque, Measured Torque, Predicted Command
0.000,1.250,0.228,3.817
14.000,0.228,5.547,12.415
33.000,5.547,25.385,29.893
50.000,25.385,48.468,49.814
10.000,48.468,4.848,8.223
23.000,4.848,15.569,21.895
94.000,15.569,100.616,92.651
82.000,100.616,92.126,80.938
47.000,92.126,49.797,46.705
19.000,49.797,16.274,22.108
9.000,16.274,5.737,11.694
58.000,5.737,58.845,58.619
32.000,58.845,31.629,34.893
34.000,31.629,31.011,36.217
33.000,31.011,32.460,37.380
82.000,32.460,87.138,80.382
59.000,87.138,67.716,61.599
84.000,67.716,90.702,81.641
100.000,90.702,110.413,96.749
13.000,110.413,9.678,11.451
4.000,9.678,0.826,2.502
8.000,0.826,1.982,6.863
49.000,1.982,49.364,51.543
3.000,49.364,0.735,1.552
9.000,0.735,3.070,8.636
29.000,3.070,21.404,27.155
64.000,21.404,66.901,64.494
57.000,66.901,61.112,57.493
15.000,61.112,10.882,15.491
75.000,10.882,77.883,75.523
19.000,77.883,16.286,20.561
59.000,16.286,59.212,56.976
60.000,59.212,63.793,60.152
9.000,63.793,6.080,9.184
50.000,6.080,48.475,48.785
41.000,48.475,39.312,41.534
80.000,39.312,85.269,78.564
18.000,85.269,14.824,18.927
94.000,14.824,100.143,93.775
54.000,100.143,61.087,55.228
74.000,61.087,81.112,74.230
86.000,81.112,94.828,84.282
71.000,94.828,83.176,73.963
68.000,83.176,77.865,70.320
29.000,77.865,28.772,31.406
85.000,28.772,91.317,84.778
16.000,91.317,13.968,18.050
78.000,13.968,83.198,79.720
65.000,83.198,74.169,67.245
86.000,74.169,93.546,83.606
73.000,93.546,84.584,75.210
61.000,84.584,68.765,62.648
51.000,68.765,58.089,54.913
14.000,58.089,11.547,16.442
11.000,11.547,6.753,13.432
19.000,6.753,12.520,20.912
60.000,12.520,62.086,61.020
60.000,62.086,62.277,58.744
58.000,62.277,60.719,57.464
98.000,60.719,105.436,93.840
39.000,105.436,41.588,39.834
38.000,41.588,38.180,34.809
36.000,38.180,37.103,34.329
58.000,37.103,62.110,55.878
69.000,62.110,74.352,68.654
59.000,74.352,66.989,61.851
92.000,66.989,102.334,91.011
1.000,102.334,0.082,1.176
26.000,0.082,17.800,26.748
55.000,17.800,54.773,55.014
48.000,54.773,50.063,49.421
4.000,50.063,1.199,2.313
10.000,1.199,3.245,8.886
46.000,3.245,42.072,43.646
2.000,42.072,1.033,2.509
97.000,1.033,104.184,97.783
35.000,104.184,34.738,34.906
72.000,34.738,77.664,71.209
84.000,77.664,91.154,81.505
83.000,91.154,91.861,81.315
33.000,91.861,34.099,34.807
2.000,34.099,0.082,0.667
67.000,0.082,72.284,70.051
64.000,72.284,68.841,63.516
73.000,68.841,78.291,71.523
22.000,78.291,19.231,23.338
21.000,19.231,17.652,22.104
49.000,17.652,48.276,46.396
63.000,48.276,65.773,62.356
30.000,65.773,28.495,31.930
46.000,28.495,44.933,46.975
99.000,44.933,108.312,97.058
62.000,108.312,72.552,59.402
9.000,72.552,6.605,11.440
99.000,6.605,106.976,99.127
62.000,106.976,72.648,59.450
49.000,72.648,56.234,46.830
16.000,56.234,13.178,17.711
49.000,13.178,49.958,48.777
42.000,49.958,42.925,44.202
0.000,42.925,0.612,1.720
5.000,0.612,0.874,4.994
3.000,0.874,0.232,3.847
7.000,0.232,1.123,5.447
7.000,1.123,1.840,6.608
11.000,1.840,3.917,9.895
9.000,3.917,3.074,6.825
12.000,3.074,5.118,11.625
10.000,5.118,3.952,8.112
11.000,3.952,4.331,8.803
10.000,4.331,3.295,7.145
11.000,3.295,3.772,8.001
10.000,3.772,3.293,7.193
12.000,3.293,4.705,9.431
11.000,4.705,4.586,9.116
15.000,4.586,7.207,12.804
15.000,7.207,7.817,13.324
17.000,7.817,8.276,13.837
15.000,8.276,7.221,12.462
20.000,7.221,11.562,17.652
18.000,11.562,9.966,17.621
18.000,9.966,10.683,18.589
