# Actual Command, Previous Torque, Measured Torque, Predicted Command
69.600,79.727,79.051,71.516
73.800,79.051,84.493,76.027
70.900,84.493,79.931,71.948
71.700,79.931,82.503,74.347
70.800,82.503,78.951,71.262
75.600,78.951,87.319,78.334
73.300,87.319,83.731,74.906
75.100,83.731,85.613,76.669
73.800,85.613,84.751,75.849
78.000,84.751,87.493,78.143
76.500,87.493,85.958,76.723
79.500,85.958,91.703,81.492
77.500,91.703,87.573,77.784
82.500,87.573,95.840,84.749
81.700,95.840,94.098,82.849
84.300,94.098,97.738,85.918
82.700,97.738,94.957,83.432
85.900,94.957,97.685,85.824
84.700,97.685,97.912,85.846
90.000,97.912,104.629,91.385
87.300,104.629,103.130,89.730
87.300,103.130,103.060,89.764
84.500,103.060,99.643,86.936
85.300,99.643,100.664,87.986
83.700,100.664,99.741,87.164
85.100,99.741,102.211,89.260
82.200,102.211,97.023,84.838
86.600,97.023,102.826,89.929
84.400,102.826,100.147,87.366
84.600,100.147,99.981,87.393
83.800,99.981,100.094,87.496
85.200,100.094,99.037,86.621
83.900,99.037,99.221,86.836
84.300,99.221,100.552,87.919
82.700,100.552,97.943,85.696
86.300,97.943,100.948,88.322
83.800,100.948,99.455,86.912
87.800,99.455,102.492,89.510
85.800,102.492,100.881,87.992
90.000,100.881,105.598,92.033
87.400,105.598,102.692,89.304
88.400,102.692,104.893,91.330
86.500,104.893,102.611,89.281
90.000,102.611,106.767,92.930
89.800,106.767,103.899,90.244
90.000,103.899,104.945,91.302
87.800,104.945,103.853,90.317
90.000,103.853,106.731,92.827
87.100,106.731,101.606,88.328
90.000,101.606,105.847,92.203
87.800,105.847,104.447,90.762
90.000,104.447,106.505,92.598
89.800,106.505,108.165,93.911
90.000,108.165,105.488,86.654
87.300,105.488,102.136,83.168
87.700,102.136,104.177,85.700
85.900,104.177,102.001,83.138
89.100,102.001,105.430,87.177
86.600,105.430,102.084,83.119
89.200,102.084,104.389,85.948
88.300,104.389,105.841,87.424
88.700,105.841,104.526,85.742
85.800,104.526,101.703,82.800
90.000,101.703,105.964,87.857
89.200,105.964,105.730,87.138
90.000,105.730,106.169,87.691
88.400,106.169,105.423,86.753
90.000,105.423,106.322,87.909
89.900,106.322,105.840,87.236
90.000,105.840,106.203,87.722
87.600,106.203,104.665,85.868
87.800,104.665,104.496,85.815
84.800,104.496,101.911,83.017
87.400,101.911,103.182,84.611
84.700,103.182,102.068,83.297
88.300,102.068,104.334,85.886
85.400,104.334,103.011,84.196
100.000,103.011,117.642,106.749
97.200,117.642,116.399,102.446
97.700,116.399,115.220,100.305
92.700,115.220,112.839,96.255
93.400,112.839,113.817,98.124
91.000,113.817,112.946,96.555
91.100,112.946,112.095,95.256
87.100,112.095,107.190,88.405
89.000,107.190,107.967,89.832
86.200,107.967,108.424,90.365
88.900,108.424,108.802,90.833
86.700,108.802,108.487,90.370
88.500,108.487,108.502,90.420
87.700,108.502,107.350,88.908
87.900,107.350,107.556,89.280
85.300,107.556,106.417,87.825
85.500,106.417,107.241,88.965
83.300,107.241,105.537,86.792
85.900,105.537,106.461,88.069
83.100,106.461,105.818,87.197
83.100,105.818,104.651,85.887
78.100,104.651,99.017,80.147
80.800,99.017,100.664,82.249
78.400,100.664,99.876,81.304
79.600,99.876,98.020,79.598
76.400,98.020,97.259,79.059
78.300,97.259,98.563,80.356
72.900,98.563,92.912,75.201
74.300,92.912,92.900,75.667
72.900,92.900,93.282,75.998
74.800,93.282,93.917,76.513
74.400,93.917,95.226,77.607
75.200,95.226,94.183,76.562
73.800,94.183,94.957,77.341
75.700,94.957,94.922,77.236
73.100,94.922,94.970,77.282
75.600,94.970,93.832,76.281
71.400,93.832,91.261,74.195
73.600,91.261,92.553,75.529
73.200,92.553,93.934,76.600
76.200,93.934,93.886,76.423
74.200,93.886,95.762,78.092
75.700,95.762,95.149,77.362
70.300,95.149,90.616,73.553
71.100,90.616,89.609,73.102
66.500,89.609,85.090,69.492
67.300,85.090,84.105,69.072
63.100,84.105,80.717,66.381
