# TimeStamp (s), BrakeCommand (%), Actual Brake Torque (%), Motor Current (A), Motor Speed (%)
1.06,0.00,2.20,0.00,4.94
1.07,0.00,0.00,1.32,4.88
1.08,0.00,0.60,1.86,4.84
1.09,0.00,1.10,0.96,4.88
1.09,0.00,1.10,0.00,4.92
1.10,0.00,0.60,0.06,4.96
nan,nan,nan,nan,nan
1.11,0.00,0.60,0.96,4.92
1.11,0.00,0.00,1.02,4.86
1.12,0.00,0.60,0.06,4.94
1.13,0.00,0.60,1.02,4.88
1.13,0.00,-0.50,0.00,4.92
1.14,0.00,-1.00,0.00,4.96
1.15,0.00,0.60,0.72,4.94
1.16,0.00,4.40,0.06,4.99
nan,nan,nan,nan,nan
1.17,0.00,1.70,1.02,4.94
1.17,0.00,3.30,0.96,4.90
1.18,0.00,-0.50,1.32,4.84
1.19,0.00,1.70,0.90,4.88
1.20,0.00,0.00,0.96,4.86
1.20,0.00,1.10,0.96,4.90
1.21,0.00,2.20,0.06,4.94
1.22,0.00,-1.60,0.96,4.90
1.23,0.00,2.20,0.00,4.94
nan,nan,nan,nan,nan
1.23,0.00,-1.00,0.96,4.90
1.24,0.00,-0.50,1.92,4.86
1.25,0.00,0.00,0.12,4.92
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
1.27,0.00,-0.50,0.00,4.96
1.28,0.00,0.00,1.92,4.90
1.29,0.00,-0.50,1.50,4.86
nan,nan,nan,nan,nan
1.29,0.00,-1.00,0.06,4.92
1.30,0.00,2.80,1.02,4.88
1.31,0.00,3.30,0.06,4.92
1.32,0.00,-1.60,0.96,4.88
1.33,0.00,0.00,1.68,4.84
nan,nan,nan,nan,nan
1.33,0.00,0.00,0.30,4.90
1.34,0.00,-0.50,0.06,4.94
1.35,0.00,1.10,1.56,4.88
1.36,0.00,3.80,0.90,4.86
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
1.38,0.00,0.00,0.48,4.96
1.38,0.00,2.20,0.90,4.94
1.39,0.00,-0.50,0.06,4.99
1.40,0.00,-0.50,1.20,4.92
nan,nan,nan,nan,nan
1.41,0.00,3.30,0.96,4.90
1.42,0.00,-0.50,0.06,4.94
1.42,0.00,1.10,1.02,4.90
1.43,0.00,0.60,1.08,4.86
1.44,0.00,-1.60,0.96,4.90
1.45,0.00,2.20,0.00,4.94
nan,nan,nan,nan,nan
1.45,0.00,-1.00,0.90,4.92
1.46,0.00,1.10,0.00,4.96
1.47,0.00,-0.50,1.86,4.90
1.48,0.00,1.70,0.90,4.88
1.48,0.00,1.70,1.02,4.92
1.49,0.00,-1.60,0.06,4.96
nan,nan,nan,nan,nan
1.50,0.00,2.80,1.02,4.94
1.51,0.00,0.00,1.68,4.88
1.52,0.00,1.10,1.02,4.92
1.52,0.00,0.60,0.06,4.96
1.53,0.00,0.60,0.06,5.01
1.54,0.00,0.60,1.02,4.96
1.54,0.00,2.20,1.02,4.92
1.55,0.00,-1.00,1.14,4.88
1.56,0.00,2.80,1.02,4.92
nan,nan,nan,nan,nan
1.57,0.00,-2.10,1.20,4.88
1.58,0.00,1.10,0.96,4.92
1.58,0.00,1.70,0.12,4.96
