# setPoint, prevsetPoint, Current
49.00,65.51,52.00
4.00,52.00,1.46
79.00,1.46,86.29
61.00,86.29,68.58
96.00,68.58,104.93
67.00,104.93,78.10
26.00,78.10,22.63
5.00,22.63,1.45
92.00,1.45,101.73
54.00,101.73,60.93
39.00,60.93,41.35
53.00,41.35,56.65
40.00,56.65,42.30
85.00,42.30,92.70
7.00,92.70,2.93
28.00,2.93,19.84
26.00,19.84,18.07
43.00,18.07,40.17
27.00,40.17,23.12
32.00,23.12,27.19
16.00,27.19,12.17
78.00,12.17,85.08
28.00,85.08,24.75
83.00,24.75,90.12
71.00,90.12,82.09
30.00,82.09,28.35
49.00,28.35,50.59
46.00,50.59,47.82
85.00,47.82,92.99
52.00,92.99,57.91
83.00,57.91,91.18
66.00,91.18,75.63
86.00,75.63,95.41
97.00,95.41,108.70
44.00,108.70,49.18
