# setPoint, prevsetPoint, Current
3.00,0.00,5.34
95.00,3.00,101.94
54.00,95.00,62.00
44.00,54.00,49.96
5.00,44.00,5.52
17.00,5.00,14.97
58.00,17.00,63.76
12.00,58.00,8.98
85.00,12.00,95.17
76.00,85.00,88.68
73.00,76.00,85.89
51.00,73.00,59.13
65.00,51.00,73.66
39.00,65.00,44.57
36.00,39.00,40.74
67.00,36.00,75.90
90.00,67.00,101.71
23.00,90.00,26.33
63.00,23.00,71.40
68.00,63.00,75.05
10.00,68.00,14.30
22.00,10.00,17.76
70.00,22.00,79.41
27.00,70.00,30.21
97.00,27.00,110.26
14.00,97.00,10.36
11.00,14.00,10.13
99.00,11.00,113.56
78.00,99.00,93.56
46.00,78.00,52.94
99.00,46.00,112.70
58.00,99.00,71.42
84.00,58.00,97.86
5.00,84.00,8.14
9.00,5.00,7.73
7.00,9.00,6.48
87.00,7.00,99.54
35.00,87.00,38.88
54.00,35.00,60.68
22.00,54.00,23.85
91.00,22.00,104.19
46.00,91.00,56.42
66.00,46.00,75.35
9.00,66.00,8.04
72.00,9.00,82.47
68.00,72.00,79.37
4.00,68.00,6.90
7.00,4.00,7.55
59.00,7.00,64.18
10.00,59.00,10.47
72.00,10.00,81.63
33.00,72.00,34.18
46.00,33.00,49.13
14.00,46.00,13.08
75.00,14.00,85.93
44.00,75.00,49.42
33.00,44.00,36.96
82.00,33.00,94.35
43.00,82.00,51.63
12.00,43.00,11.46
82.00,12.00,93.04
81.00,82.00,93.75
73.00,81.00,87.98
82.00,73.00,93.92
6.00,82.00,6.31
38.00,6.00,34.53
30.00,38.00,30.08
16.00,30.00,12.59
75.00,16.00,85.09
50.00,75.00,57.46
29.00,50.00,30.52
46.00,29.00,48.78
2.00,46.00,7.97
41.00,2.00,39.36
77.00,41.00,88.81
72.00,77.00,82.62
30.00,72.00,31.44
88.00,30.00,101.50
74.00,88.00,88.06
26.00,74.00,26.81
46.00,26.00,49.72
60.00,46.00,66.74
98.00,60.00,112.06
88.00,98.00,107.03
61.00,88.00,74.46
40.00,61.00,47.02
46.00,40.00,51.70
5.00,46.00,5.77
90.00,5.00,102.61
87.00,90.00,103.56
8.00,87.00,7.89
0.00,8.00,3.31
1.00,0.00,2.25
77.00,1.00,86.84
97.00,77.00,110.06
43.00,97.00,47.23
11.00,43.00,10.54
15.00,11.00,11.90
16.00,15.00,11.39
56.00,16.00,60.58
34.00,56.00,36.09
39.00,34.00,41.12
68.00,39.00,77.48
55.00,68.00,64.58
94.00,55.00,109.13
21.00,94.00,21.79
52.00,21.00,55.50
19.00,52.00,18.19
84.00,19.00,97.44
43.00,84.00,50.70
19.00,43.00,18.09
79.00,19.00,89.42
78.00,79.00,90.87
39.00,78.00,44.21
49.00,39.00,54.76
0.00,49.00,2.12
84.00,0.00,96.05
49.00,84.00,56.52
27.00,49.00,28.42
68.00,27.00,76.46
83.00,68.00,94.70
77.00,83.00,91.49
35.00,77.00,38.22
51.00,35.00,56.08
22.00,51.00,23.98
62.00,22.00,69.10
11.00,62.00,10.52
97.00,11.00,111.75
30.00,97.00,31.31
35.00,30.00,36.58
34.00,35.00,34.71
49.00,34.00,53.77
100.00,49.00,114.49
61.00,100.00,76.80
3.00,61.00,5.54
60.00,3.00,66.12
85.00,60.00,99.53
34.00,85.00,37.93
60.00,34.00,66.58
72.00,60.00,83.89
27.00,72.00,29.42
69.00,27.00,79.88
83.00,69.00,97.22
96.00,83.00,111.66
31.00,96.00,30.44
33.00,31.00,35.35
55.00,33.00,61.31
90.00,55.00,105.30
57.00,90.00,69.27
90.00,57.00,102.45
0.00,90.00,2.70
3.00,0.00,3.90
0.00,3.00,7.69
5.00,0.00,4.52
3.00,5.00,4.42
6.00,3.00,4.49
3.00,6.00,4.25
5.00,3.00,7.56
3.00,5.00,1.23
7.00,3.00,4.40
4.00,7.00,4.42
12.00,4.00,8.17
11.00,12.00,6.60
11.00,11.00,6.63
7.00,11.00,6.90
8.00,7.00,4.46
6.00,8.00,6.75
8.00,6.00,5.82
5.00,8.00,3.73
7.00,5.00,6.47
4.00,7.00,4.95
8.00,4.00,4.66
5.00,8.00,5.96
12.00,5.00,7.71
8.00,12.00,7.05
15.00,8.00,9.28
12.00,15.00,8.34
13.00,12.00,7.77
11.00,13.00,8.39
15.00,11.00,9.07
15.00,15.00,9.73
15.00,15.00,9.94
15.00,15.00,9.05
16.00,15.00,11.02
12.00,16.00,8.99
20.00,12.00,12.70
19.00,20.00,12.56
24.00,19.00,18.08
24.00,24.00,34.88
31.00,24.00,19.85
29.00,31.00,25.75
34.00,29.00,30.69
30.00,34.00,26.77
32.00,30.00,28.80
28.00,32.00,25.52
34.00,28.00,29.37
32.00,34.00,31.03
34.00,32.00,30.86
30.00,34.00,28.06
38.00,30.00,34.63
36.00,38.00,32.58
37.00,36.00,33.24
36.00,37.00,35.68
43.00,36.00,43.09
43.00,43.00,44.43
47.00,43.00,48.31
46.00,47.00,47.06
49.00,46.00,51.25
47.00,49.00,49.71
48.00,47.00,51.39
48.00,48.00,49.29
56.00,48.00,59.66
53.00,56.00,57.95
61.00,53.00,68.54
58.00,61.00,66.60
61.00,58.00,68.88
60.00,61.00,65.48
68.00,60.00,76.72
67.00,68.00,77.13
68.00,67.00,78.69
68.00,68.00,77.38
69.00,68.00,79.73
68.00,69.00,78.39
70.00,68.00,81.05
67.00,70.00,77.48
69.00,67.00,81.34
68.00,69.00,79.18
69.00,68.00,79.22
66.00,69.00,77.34
69.00,66.00,79.32
66.00,69.00,77.69
71.00,66.00,82.05
70.00,71.00,80.47
71.00,70.00,81.31
70.00,71.00,81.24
72.00,70.00,84.63
69.00,72.00,81.64
74.00,69.00,86.78
73.00,74.00,85.60
77.00,73.00,90.23
75.00,77.00,89.43
78.00,75.00,91.79
76.00,78.00,90.40
83.00,76.00,97.91
81.00,83.00,97.42
83.00,81.00,98.40
80.00,83.00,95.13
80.00,80.00,96.64
76.00,80.00,91.76
79.00,76.00,94.91
75.00,79.00,91.51
75.00,75.00,90.65
71.00,75.00,89.88
73.00,71.00,89.31
73.00,73.00,88.53
76.00,73.00,90.10
72.00,76.00,88.28
75.00,72.00,90.50
72.00,75.00,90.74
75.00,72.00,90.69
71.00,75.00,85.85
72.00,71.00,88.83
69.00,72.00,86.19
73.00,69.00,87.39
65.00,73.00,81.74
67.00,65.00,81.28
61.00,67.00,74.39
62.00,61.00,74.76
57.00,62.00,68.20
61.00,57.00,73.25
59.00,61.00,73.03
62.00,59.00,73.46
60.00,62.00,72.30
60.00,60.00,72.43
60.00,60.00,74.39
64.00,60.00,76.23
62.00,64.00,75.35
65.00,62.00,75.43
63.00,65.00,74.95
66.00,63.00,78.85
65.00,66.00,77.98
