# setPoint, prevsetPoint, Current
75.00,0.00,81.69
74.00,75.00,85.21
26.00,74.00,21.31
24.00,26.00,17.54
68.00,24.00,75.32
43.00,68.00,45.44
71.00,43.00,82.20
20.00,71.00,15.36
24.00,20.00,16.93
69.00,24.00,74.95
69.00,69.00,76.37
5.00,69.00,1.09
57.00,5.00,60.77
71.00,57.00,78.99
4.00,71.00,0.40
22.00,4.00,9.86
27.00,22.00,16.66
81.00,27.00,91.96
73.00,81.00,86.98
18.00,73.00,9.37
19.00,18.00,9.79
23.00,19.00,14.78
7.00,23.00,1.69
64.00,7.00,70.41
85.00,64.00,97.34
57.00,85.00,65.82
84.00,57.00,93.73
81.00,84.00,95.31
10.00,81.00,3.63
79.00,10.00,89.74
30.00,79.00,27.10
79.00,30.00,88.58
69.00,79.00,79.32
46.00,69.00,52.12
84.00,46.00,96.82
89.00,84.00,103.68
42.00,89.00,44.56
33.00,42.00,31.40
87.00,33.00,99.36
65.00,87.00,79.69
91.00,65.00,106.33
13.00,91.00,5.31
88.00,13.00,100.66
76.00,88.00,90.10
4.00,76.00,-1.31
34.00,4.00,27.87
2.00,34.00,-1.56
84.00,2.00,95.54
92.00,84.00,105.66
0.00,92.00,-2.84
79.00,0.00,88.01
81.00,79.00,93.03
88.00,81.00,100.98
35.00,88.00,34.15
31.00,35.00,27.28
44.00,31.00,44.05
46.00,44.00,45.49
50.00,46.00,53.22
36.00,50.00,34.94
23.00,36.00,17.42
83.00,23.00,95.86
96.00,83.00,110.56
93.00,96.00,110.73
14.00,93.00,6.98
84.00,14.00,95.36
40.00,84.00,41.71
33.00,40.00,32.75
55.00,33.00,59.43
1.00,55.00,-1.21
26.00,1.00,14.24
70.00,26.00,76.47
89.00,70.00,101.93
21.00,89.00,17.27
79.00,21.00,89.82
96.00,79.00,111.69
22.00,96.00,17.16
55.00,22.00,57.51
32.00,55.00,29.50
57.00,32.00,61.33
30.00,57.00,27.96
83.00,30.00,97.58
94.00,83.00,109.69
87.00,94.00,102.75
67.00,87.00,82.99
74.00,67.00,89.66
32.00,74.00,34.18
38.00,32.00,38.00
15.00,38.00,7.52
76.00,15.00,85.53
5.00,76.00,2.67
75.00,5.00,86.36
45.00,75.00,49.58
20.00,45.00,14.55
80.00,20.00,90.52
13.00,80.00,5.90
13.00,13.00,7.19
2.00,13.00,-1.12
79.00,2.00,90.26
14.00,79.00,5.66
18.00,14.00,9.10
57.00,18.00,61.04
22.00,57.00,19.71
13.00,22.00,6.83
22.00,13.00,13.09
0.00,22.00,-2.38
26.00,0.00,16.37
36.00,26.00,30.57
51.00,36.00,52.37
52.00,51.00,51.88
78.00,52.00,87.86
45.00,78.00,49.12
56.00,45.00,61.30
52.00,56.00,59.00
22.00,52.00,20.37
62.00,22.00,67.31
94.00,62.00,108.17
92.00,94.00,108.82
12.00,92.00,5.31
54.00,12.00,58.51
6.00,54.00,0.84
90.00,6.00,103.01
45.00,90.00,47.63
77.00,45.00,89.45
55.00,77.00,65.33
95.00,55.00,111.48
76.00,95.00,93.76
10.00,76.00,3.84
43.00,10.00,40.99
69.00,43.00,77.58
8.00,69.00,1.66
60.00,8.00,66.50
0.00,60.00,-1.71
38.00,0.00,31.73
4.00,38.00,-0.32
3.00,4.00,-0.54
29.00,3.00,21.50
51.00,29.00,52.57
64.00,51.00,69.63
91.00,64.00,102.92
67.00,91.00,81.95
16.00,67.00,10.02
70.00,16.00,80.38
79.00,70.00,91.78
7.00,79.00,2.41
2.00,7.00,-1.05
67.00,2.00,75.24
52.00,67.00,58.36
44.00,52.00,47.80
74.00,44.00,83.97
96.00,74.00,110.57
