# TimeStamp (s), BrakeCommand (%), Actual Brake Torque (%), Motor Current (A), Motor Speed (%)
0.00,0.00,0.00,3.42,3.61
0.01,0.00,0.00,3.06,3.69
0.03,0.00,0.00,0.60,4.43
0.04,0.00,2.20,0.18,4.86
0.06,0.00,-0.50,0.00,4.75
0.07,0.00,-2.10,0.00,4.56
0.08,0.00,1.70,1.08,4.37
0.10,0.00,0.00,0.96,4.31
0.11,0.00,-3.70,0.06,4.37
0.13,0.00,-0.50,0.18,4.39
0.14,0.00,0.00,1.44,4.31
0.15,0.00,-2.70,0.96,4.24
0.17,0.00,-2.10,0.00,4.29
0.18,0.00,-1.00,0.12,4.35
0.20,0.00,2.80,1.26,4.26
0.21,0.00,0.00,0.96,4.20
0.22,0.00,-0.50,0.00,4.24
0.24,0.00,-0.50,0.00,4.29
0.25,0.00,0.00,1.02,4.24
0.27,0.00,-1.60,0.06,4.26
nan,nan,nan,nan,nan
0.28,0.00,0.00,0.00,4.31
0.29,0.00,1.10,0.96,4.24
0.31,0.00,1.10,0.06,4.31
0.32,0.00,2.20,0.12,4.33
0.34,0.00,0.00,0.96,4.26
0.35,0.00,0.00,0.96,4.29
0.36,0.00,-0.50,0.06,4.33
0.38,0.00,-0.50,0.06,4.37
0.39,0.00,0.00,0.00,4.41
0.41,0.00,1.70,1.38,4.33
0.42,0.00,1.10,0.72,4.35
0.43,0.00,1.10,0.00,4.48
0.45,0.00,-2.70,0.06,4.54
0.46,0.00,2.20,1.98,4.45
0.48,0.00,0.00,1.44,4.37
0.49,0.00,1.70,0.96,4.31
0.50,0.00,-1.00,0.06,4.43
0.52,0.00,1.70,0.00,4.56
0.53,0.00,1.70,0.00,4.58
nan,nan,nan,nan,nan
0.55,0.00,-2.70,1.02,4.50
0.56,0.00,-0.50,1.20,4.41
0.58,0.00,-0.50,0.00,4.48
0.59,0.00,1.70,0.06,4.58
0.60,0.00,1.70,0.12,4.60
0.62,0.00,2.20,1.26,4.52
0.63,0.00,1.10,0.18,4.54
0.65,0.00,-1.00,1.02,4.48
0.66,0.00,0.60,0.06,4.50
0.67,0.00,-1.00,1.74,4.41
0.69,0.00,0.60,0.42,4.54
0.70,0.00,-0.50,0.00,4.56
0.72,0.00,1.10,1.20,4.48
0.73,0.00,0.00,1.32,4.41
0.74,0.00,-0.50,0.00,4.54
0.76,0.00,0.60,0.06,4.65
0.77,0.00,-1.60,1.50,4.56
0.78,0.00,0.60,1.08,4.48
0.80,0.00,-0.50,0.48,4.52
0.81,0.00,-1.60,0.00,4.62
0.83,0.00,-1.60,1.98,4.54
0.84,0.00,0.00,0.84,4.56
nan,nan,nan,nan,nan
0.85,0.00,1.70,0.06,4.58
0.87,0.00,1.10,0.06,4.69
0.88,0.00,0.00,1.08,4.62
0.90,0.00,-0.50,1.08,4.54
0.91,0.00,-0.50,0.96,4.54
0.92,0.00,1.70,0.12,4.67
0.94,0.00,-1.00,0.06,4.67
0.95,0.00,-1.60,1.98,4.58
0.97,0.00,0.60,0.06,4.62
0.98,0.00,0.00,0.36,4.62
0.99,0.00,0.00,0.12,4.73
1.01,0.00,0.00,1.02,4.65
1.02,0.00,-0.50,1.14,4.54
1.04,0.00,0.60,0.84,4.58
1.05,0.00,1.10,0.12,4.69
1.06,0.00,2.20,0.12,4.79
1.08,0.00,0.00,2.04,4.69
1.09,0.00,-2.70,0.06,4.71
1.11,0.00,0.60,0.00,4.73
1.12,0.00,-1.00,0.06,4.73
nan,nan,nan,nan,nan
1.13,0.00,-2.70,0.12,4.73
1.15,0.00,1.70,1.14,4.65
1.16,0.00,-1.00,1.08,4.58
1.18,0.00,0.60,0.30,4.69
1.19,0.00,0.60,0.06,4.79
1.20,0.00,0.60,0.96,4.77
1.22,0.00,-2.10,1.08,4.69
1.23,0.00,-0.50,0.90,4.69
1.25,0.00,1.70,0.06,4.82
1.26,0.00,2.20,0.24,4.82
1.27,0.00,-0.50,1.20,4.79
1.29,0.00,-1.00,1.44,4.71
1.30,0.00,-2.10,0.06,4.71
1.32,0.00,0.00,0.18,4.82
1.33,0.00,1.10,0.00,4.90
1.34,0.00,0.60,1.74,4.73
1.36,0.00,0.60,0.96,4.73
1.37,0.00,1.70,1.02,4.73
1.38,0.00,0.60,0.06,4.84
1.40,0.00,-1.60,1.02,4.75
1.41,0.00,1.10,1.02,4.75
nan,nan,nan,nan,nan
1.43,0.00,-1.60,1.02,4.67
1.44,0.00,-1.00,0.00,4.77
1.45,0.00,-0.50,0.06,4.86
1.47,0.00,1.10,1.20,4.77
1.48,0.00,1.70,1.20,4.69
1.50,0.00,0.00,0.84,4.69
1.51,0.00,0.00,0.24,4.79
1.53,0.00,0.60,0.00,4.88
1.54,0.00,0.00,1.08,4.82
1.55,0.00,-1.60,1.26,4.71
1.57,0.00,1.10,0.60,4.71
1.58,0.00,0.60,0.00,4.82
1.60,0.00,0.60,0.18,4.90
1.61,0.00,2.80,1.44,4.84
1.62,0.00,1.10,1.92,4.73
