1.13,0
3.25,6.8
7.25,13.6
13.25,20.4
20.5,27.2
29,34
38,40.8
47.5,47.6
57.5,54.4
69,62.1
80,69.9
90.5,77.7
100,85.4
107,92.2
114,99.4
115,100
114,99.4
109,92.2
103,85.4
95,77.7
85.5,69.9
75,62.1
64.75,54.4
55.3,47.6
46,40.8
36.5,34
27,27.2
18.75,20.4
11.25,13.6
5,6.8
1.25,0
