# setPoint, prevsetPoint, Current
96.00,108.21,110.27
94.00,110.27,109.77
94.00,109.77,110.31
92.00,110.31,108.05
96.00,108.05,113.98
94.00,113.98,110.12
96.00,110.12,111.88
95.00,111.88,110.20
96.00,110.20,111.50
94.00,111.50,108.33
96.00,108.33,112.87
93.00,112.87,110.43
93.00,110.43,112.30
93.00,112.30,110.91
96.00,110.91,113.38
93.00,113.38,109.63
96.00,109.63,112.39
95.00,112.39,110.25
96.00,110.25,112.96
95.00,112.96,112.36
96.00,112.36,111.50
93.00,111.50,109.10
95.00,109.10,111.62
94.00,111.62,109.20
96.00,109.20,113.32
95.00,113.32,110.53
96.00,110.53,115.02
95.00,115.02,111.85
96.00,111.85,112.75
93.00,112.75,111.12
95.00,111.12,112.83
92.00,112.83,109.15
93.00,109.15,109.79
91.00,109.79,110.50
96.00,110.50,114.36
100.00,114.36,117.03
96.00,117.03,114.70
99.00,114.70,114.42
94.00,114.42,113.69
95.00,113.69,112.42
90.00,112.42,111.19
90.00,111.19,111.29
84.00,111.29,105.79
84.00,105.79,104.43
84.00,104.43,105.15
84.00,105.15,104.30
80.00,104.30,101.02
82.00,101.02,101.41
76.00,101.41,95.66
78.00,95.66,97.09
78.00,97.09,97.28
78.00,97.28,97.36
78.00,97.36,97.36
78.00,97.36,96.17
74.00,96.17,94.78
76.00,94.78,94.50
73.00,94.50,93.62
75.00,93.62,94.87
70.00,94.87,89.08
72.00,89.08,89.27
69.00,89.27,89.55
72.00,89.55,88.95
70.00,88.95,87.33
71.00,87.33,88.47
68.00,88.47,86.38
70.00,86.38,88.07
70.00,88.07,86.50
70.00,86.50,85.67
66.00,85.67,83.47
69.00,83.47,84.55
64.00,84.55,81.01
67.00,81.01,83.72
63.00,83.72,79.25
65.00,79.25,81.73
60.00,81.73,73.67
61.00,73.67,74.42
61.00,74.42,75.92
61.00,75.92,73.61
57.00,73.61,71.70
59.00,71.70,72.83
56.00,72.83,69.97
56.00,69.97,69.69
56.00,69.69,68.85
58.00,68.85,70.68
56.00,70.68,68.80
56.00,68.80,70.72
55.00,70.72,70.32
56.00,70.32,71.52
55.00,71.52,69.10
57.00,69.10,70.33
53.00,70.33,66.92
55.00,66.92,67.94
53.00,67.94,67.68
56.00,67.68,68.70
51.00,68.70,62.64
53.00,62.64,65.40
52.00,65.40,62.32
55.00,62.32,66.40
52.00,66.40,63.00
55.00,63.00,65.26
52.00,65.26,63.16
54.00,63.16,66.56
52.00,66.56,63.68
53.00,63.68,64.46
53.00,64.46,63.78
53.00,63.78,63.99
48.00,63.99,58.27
49.00,58.27,59.52
48.00,59.52,58.20
49.00,58.20,59.59
49.00,59.59,58.31
50.00,58.31,59.66
46.00,59.66,54.62
47.00,54.62,55.60
44.00,55.60,53.38
45.00,53.38,54.33
43.00,54.33,52.69
46.00,52.69,55.58
42.00,55.58,50.22
44.00,50.22,51.33
39.00,51.33,45.31
40.00,45.31,46.61
36.00,46.61,40.56
36.00,40.56,42.39
32.00,42.39,34.83
32.00,34.83,36.06
30.00,36.06,32.14
32.00,32.14,34.13
31.00,34.13,32.90
32.00,32.90,33.43
31.00,33.43,33.43
32.00,33.43,35.34
32.00,35.34,34.06
32.00,34.06,33.87
32.00,33.87,32.86
33.00,32.86,35.24
28.00,35.24,28.12
29.00,28.12,30.35
26.00,30.35,27.17
27.00,27.17,27.23
21.00,27.23,19.79
22.00,19.79,19.39
19.00,19.39,15.96
20.00,15.96,16.64
17.00,16.64,14.17
18.00,14.17,16.37
15.00,16.37,10.66
17.00,10.66,12.45
11.00,12.45,6.39
11.00,6.39,7.65
8.00,7.65,4.71
8.00,4.71,5.71
4.00,5.71,2.66
6.00,2.66,3.13
4.00,3.13,2.46
5.00,2.46,2.28
4.00,2.28,2.10
4.00,2.10,2.14
4.00,2.14,3.06
4.00,3.06,1.64
4.00,1.64,0.62
6.00,0.62,1.93
4.00,1.93,1.95
4.00,1.95,1.19
4.00,1.19,0.52
4.00,0.52,0.79
4.00,0.79,1.07
6.00,1.07,1.15
4.00,1.15,1.11
4.00,1.11,1.46
4.00,1.46,1.09
4.00,1.09,0.55
4.00,0.55,2.37
4.00,2.37,2.58
4.00,2.58,0.81
4.00,0.81,0.74
4.00,0.74,2.45
4.00,2.45,2.51
4.00,2.51,2.03
6.00,2.03,2.97
4.00,2.97,1.64
6.00,1.64,2.43
4.00,2.43,2.04
4.00,2.04,2.58
4.00,2.58,1.50
6.00,1.50,3.61
5.00,3.61,2.41
6.00,2.41,2.05
5.00,2.05,0.67
5.00,0.67,3.21
4.00,3.21,2.13
5.00,2.13,1.74
4.00,1.74,2.45
6.00,2.45,1.84
5.00,1.84,2.45
6.00,2.45,1.73
4.00,1.73,1.20
5.00,1.20,2.38
4.00,2.38,0.52
5.00,0.52,2.84
4.00,2.84,2.47
6.00,2.47,1.27
4.00,1.27,1.60
6.00,1.60,2.49
4.00,2.49,2.69
4.00,2.69,0.70
4.00,0.70,1.41
6.00,1.41,1.96
4.00,1.96,0.55
7.00,0.55,3.70
4.00,3.70,1.64
5.00,1.64,3.01
4.00,3.01,1.04
5.00,1.04,2.36
4.00,2.36,2.18
6.00,2.18,3.64
4.00,3.64,1.94
4.00,1.94,2.59
4.00,2.59,1.61
5.00,1.61,1.62
4.00,1.62,2.62
6.00,2.62,1.68
4.00,1.68,2.00
4.00,2.00,1.45
4.00,1.45,2.24
6.00,2.24,1.99
5.00,1.99,2.16
5.00,2.16,1.77
4.00,1.77,1.34
6.00,1.34,2.62
5.00,2.62,3.17
7.00,3.17,1.74
7.00,1.74,2.92
8.00,2.92,3.02
7.00,3.02,4.29
