# Actual Command, Previous Torque, Measured Torque, Predicted Command
71.300,1.510,5.592,63.024
72.200,5.592,5.585,62.956
64.600,5.585,5.164,58.865
42.400,5.164,3.151,39.223
80.700,3.151,6.645,73.349
87.300,6.645,7.270,79.417
19.200,7.270,1.471,17.697
33.900,1.471,2.190,28.204
37.800,2.190,2.399,30.822
17.300,2.399,1.327,15.230
100.000,1.327,8.493,90.703
35.700,8.493,2.601,33.215
88.500,2.601,7.252,79.245
19.400,7.252,1.471,17.697
94.300,1.471,7.924,85.580
20.800,7.924,1.490,18.012
16.200,1.490,1.158,12.142
52.100,1.158,3.711,44.859
60.100,3.711,4.382,51.344
66.500,4.382,4.968,56.972
22.200,4.968,1.584,19.536
91.600,1.584,7.626,82.803
8.500,7.626,0.829,5.450
38.000,0.829,2.430,31.198
23.800,2.430,1.602,19.821
98.800,1.602,8.441,90.245
44.300,8.441,3.334,41.103
56.400,3.334,4.338,50.922
7.100,4.338,0.794,4.679
17.500,0.794,1.148,11.953
21.400,1.148,1.303,14.805
41.300,1.303,2.697,34.312
71.000,2.697,5.607,63.171
90.700,5.607,7.707,83.563
85.400,7.707,7.267,79.389
22.600,7.267,1.610,19.948
40.900,1.610,2.729,34.673
90.900,2.729,7.670,83.216
64.200,7.670,5.337,60.542
80.400,5.337,6.548,72.399
45.100,6.548,3.485,42.623
61.500,3.485,4.865,55.980
5.200,4.865,0.707,2.710
73.900,0.707,5.798,65.038
13.900,5.798,1.128,11.571
73.400,1.128,5.763,64.695
41.000,5.763,2.989,37.516
83.700,2.989,6.890,75.742
31.000,6.890,2.129,27.409
7.700,2.129,0.775,4.256
49.800,0.775,3.501,42.783
9.900,3.501,0.893,6.829
12.900,0.893,0.976,8.559
26.900,0.976,1.650,20.573
77.100,1.650,6.172,68.707
42.200,6.172,3.107,38.763
66.800,3.107,5.197,59.184
61.900,5.197,4.925,56.558
40.300,4.925,3.036,38.016
91.400,3.036,7.769,84.143
40.900,7.769,3.095,38.638
11.100,3.095,1.002,9.089
5.600,1.002,0.718,2.964
58.900,0.718,4.390,51.421
19.000,4.390,1.468,17.647
22.400,1.468,1.553,19.039
12.600,1.553,0.999,9.028
40.700,0.999,2.667,33.972
18.700,2.667,1.410,16.669
10.700,1.410,0.956,8.148
74.100,0.956,5.909,66.126
30.300,5.909,2.194,28.256
34.600,2.194,2.436,31.270
65.400,2.436,4.965,56.943
33.100,4.965,2.379,30.578
64.200,2.379,4.903,56.346
91.800,4.903,7.723,83.713
73.100,7.723,6.244,69.414
21.500,6.244,1.528,18.634
51.000,1.528,3.638,44.141
36.000,3.638,2.678,34.097
36.700,2.678,2.618,33.411
59.600,2.618,4.516,52.629
28.100,4.516,2.085,26.826
93.900,2.085,7.981,86.104
70.600,7.981,5.995,66.969
51.500,5.995,4.237,49.953
87.300,4.237,7.397,80.633
97.400,7.397,8.617,91.785
94.700,8.617,8.253,88.573
97.600,8.253,8.487,90.650
20.400,8.487,1.460,17.513
38.400,1.460,2.565,32.798
82.500,2.565,6.775,74.620
93.000,6.775,8.104,87.227
43.300,8.104,3.387,41.639
61.700,3.387,4.795,55.307
9.200,4.795,0.857,6.058
91.800,0.857,7.763,84.087
67.200,7.763,5.660,63.688
79.200,5.660,6.570,72.614
11.500,6.570,1.105,11.128
99.000,1.105,8.506,90.817
57.700,8.506,4.788,55.240
54.400,4.788,4.448,51.977
5.600,4.448,0.710,2.780
81.700,0.710,6.770,74.572
54.200,6.770,4.312,50.673
8.400,4.312,0.871,6.359
74.300,0.871,5.850,65.547
67.800,5.850,5.548,62.595
30.600,5.548,2.109,27.145
51.200,2.109,3.743,45.172
90.200,3.743,7.623,82.775
48.600,7.623,3.849,46.206
60.600,3.849,4.736,54.740
31.700,4.736,2.303,29.639
7.900,2.303,0.776,4.278
21.400,0.776,1.388,16.292
91.100,1.388,7.682,83.329
71.300,7.682,6.060,67.607
65.900,6.060,5.498,62.108
81.800,5.498,6.843,75.284
26.200,6.843,1.784,22.603
2.100,1.784,0.664,1.708
48.300,0.664,3.411,41.881
64.000,3.411,4.923,56.539
42.900,4.923,3.162,39.337
65.800,3.162,5.059,57.850
12.700,5.059,1.093,10.895
48.700,1.093,3.489,42.663
91.000,3.489,7.748,83.947
27.500,7.748,2.027,26.046
48.000,2.027,3.486,42.633
18.000,3.486,1.460,17.513
51.300,1.460,3.651,44.269
77.500,3.651,6.280,69.768
0.100,6.280,0.634,0.997
0.400,0.634,0.656,1.520
5.900,0.656,0.695,2.433
2.500,0.695,0.659,1.590
12.300,0.659,0.779,4.345
42.100,0.779,2.751,34.919
70.800,2.751,5.541,62.527
32.300,5.541,2.343,30.136
74.900,2.343,5.837,65.420
25.700,5.837,1.738,21.917
98.100,1.738,8.548,91.184
5.900,8.548,0.764,4.009
15.400,0.764,1.016,9.371
26.500,1.016,1.551,19.007
53.700,1.551,3.887,46.576
79.100,3.887,6.546,72.379
79.600,6.546,6.467,71.604
51.600,6.467,4.214,49.732
45.700,4.214,3.558,43.350
78.400,3.558,6.380,70.750
37.100,6.380,2.672,34.029
69.300,2.672,5.639,63.483
66.600,5.639,5.288,60.066
39.900,5.288,3.091,38.596
32.000,3.091,2.441,31.330
96.600,2.441,8.426,90.113
61.300,8.426,5.306,60.241
2.500,5.306,0.683,2.153
5.800,0.683,0.698,2.502
55.400,0.698,4.033,47.989
55.000,4.033,3.947,47.157
31.100,3.947,2.333,30.012
10.100,2.333,0.919,7.378
0.300,0.919,0.700,2.549
17.100,0.700,1.041,9.872
70.600,1.041,5.566,62.771
24.600,5.566,1.680,21.037
34.200,1.680,2.289,29.464
68.400,2.289,5.320,60.377
11.800,5.320,1.109,11.205
8.500,1.109,0.840,5.690
35.100,0.840,2.314,29.776
62.900,2.314,4.884,56.163
62.500,4.884,4.715,54.538
22.600,4.715,1.543,18.878
35.500,1.543,2.365,30.407
95.900,2.365,8.385,89.750
74.100,8.385,6.419,71.133
8.200,6.419,0.812,5.077
96.800,0.812,8.229,88.357
41.000,8.229,3.066,38.333
41.900,3.066,3.115,38.847
3.000,3.115,0.646,1.283
30.700,0.646,1.908,24.396
78.600,1.908,6.507,71.997
88.500,6.507,7.487,81.489
19.300,7.487,1.468,17.647
94.500,1.468,8.002,86.296
97.000,8.002,8.422,90.077
13.000,8.422,1.193,12.800
37.700,1.193,2.393,30.749
84.400,2.393,6.962,76.442
5.100,6.962,0.702,2.595
67.500,0.702,5.242,59.620
29.500,5.242,2.067,26.586
50.700,2.067,3.575,43.518
46.000,3.575,3.305,40.808
18.700,3.305,1.455,17.429
85.400,1.455,7.024,77.044
1.300,7.024,0.618,0.614
19.300,0.618,1.229,13.466
55.800,1.229,4.054,48.191
76.200,4.054,6.283,69.798
80.600,6.283,6.654,73.437
38.900,6.654,2.836,35.860
97.600,2.836,8.400,89.883
55.100,8.400,4.572,53.166
93.400,4.572,7.927,85.607
59.000,7.927,5.010,57.377
58.100,5.010,4.930,56.606
61.300,4.930,5.132,58.555
21.200,5.132,1.572,19.344
93.200,1.572,7.895,85.312
58.500,7.895,4.943,56.731
9.000,4.943,0.909,7.167
91.100,0.909,7.759,84.049
42.100,7.759,3.294,40.695
3.400,3.294,0.686,2.223
30.900,0.686,1.796,22.780
46.100,1.796,3.183,39.555
65.400,3.183,4.979,57.078
98.900,4.979,8.580,91.463
27.200,8.580,1.970,25.263
3.200,1.970,0.669,1.826
70.200,0.669,5.577,62.878
32.700,5.577,2.348,30.198
94.300,2.348,8.029,86.544
69.700,8.029,5.937,66.400
60.600,5.937,5.059,57.850
25.600,5.059,1.811,23.000
84.300,1.811,7.115,77.925
8.800,7.115,0.872,6.381
74.300,0.872,5.958,66.606
97.500,5.958,8.499,90.755
42.600,8.499,3.233,40.071
24.800,3.233,1.765,22.321
54.700,1.765,4.043,48.085
5.800,4.043,0.742,3.512
8.100,0.742,0.737,3.398
96.300,0.737,8.306,89.047
51.900,8.306,4.205,49.645
52.300,4.205,4.136,48.981
23.100,4.136,1.628,20.230
29.300,1.628,1.892,24.169
32.300,1.892,2.220,28.590
42.100,2.220,2.831,35.806
86.200,2.831,7.311,79.811
35.900,7.311,2.610,33.319
93.700,2.610,7.937,85.699
58.800,7.937,4.886,56.182
23.400,4.886,1.659,20.713
95.500,1.659,8.201,88.105
56.500,8.201,4.814,55.490
27.900,4.814,2.059,26.478
10.700,2.059,0.952,8.065
23.500,0.952,1.531,18.683
43.200,1.531,2.941,37.002
51.500,2.941,3.609,43.855
26.100,3.609,1.782,22.573
78.800,1.782,6.438,71.320
3.400,6.438,0.680,2.083
78.000,0.680,6.215,69.130
52.800,6.215,4.258,50.154
10.900,4.258,0.904,7.062
57.200,0.904,4.275,50.317
55.700,4.275,4.128,48.904
36.600,4.128,2.636,33.618
86.700,2.636,7.329,79.983
28.900,7.329,2.122,27.317
55.700,2.122,4.136,48.981
17.600,4.136,1.384,16.223
20.400,1.384,1.507,18.291
4.900,1.507,0.761,3.942
75.000,0.761,6.084,67.843
58.500,6.084,4.871,56.038
69.700,4.871,5.633,63.424
75.000,5.633,5.971,66.734
39.000,5.971,2.877,36.309
53.900,2.877,4.047,48.124
0.100,4.047,0.631,0.926
63.400,0.631,4.743,54.807
4.100,4.743,0.630,0.902
95.600,0.630,8.328,89.243
81.200,8.328,7.146,78.224
91.100,7.146,7.827,84.682
62.600,7.827,5.251,59.707
21.500,5.251,1.577,19.424
78.400,1.577,6.412,71.064
7.900,6.412,0.855,6.015
16.900,0.855,1.079,10.622
94.200,1.079,8.180,87.915
23.800,8.180,1.581,19.488
34.000,1.581,2.226,28.667
47.600,2.226,3.375,41.518
34.900,3.375,2.600,33.204
