# setPoint, prevCurrent, Current
50,0,3.451
50,3.451,3.466
50,3.466,3.562
50,3.562,3.578
50,3.578,3.579
50,3.579,3.56
50,3.56,3.639
50,3.639,3.616
50,3.616,3.582
50,3.582,3.744
50,3.744,3.689
50,3.689,3.677
50,3.677,3.67
50,3.67,3.586
50,3.586,3.756
50,3.756,3.685
50,3.685,3.735
50,3.735,3.699
50,3.699,3.626
50,3.626,3.704
50,3.704,3.752
50,3.752,3.645
50,3.645,3.698
50,3.698,3.683
50,3.683,3.753
50,3.753,3.753
50,3.753,3.777
50,3.777,3.685
50,3.685,3.803
50,3.803,3.7
50,3.7,3.745
50,3.745,3.698
50,3.698,3.714
50,3.714,3.643
50,3.643,3.723
50,3.723,3.592
50,3.592,3.826
50,3.826,3.711
50,3.711,3.719
50,3.719,3.821
50,3.821,3.707
50,3.707,3.782
50,3.782,3.723
50,3.723,3.762
50,3.762,3.701
50,3.701,3.688
50,3.688,3.792
50,3.792,3.671
50,3.671,3.664
50,3.664,3.722
50,3.722,3.76
50,3.76,3.661
50,3.661,3.844
50,3.844,3.738
50,3.738,3.863
50,3.863,3.758
50,3.758,3.665
50,3.665,3.759
50,3.759,3.722
50,3.722,3.714
50,3.714,3.775
50,3.775,3.784
50,3.784,3.746
50,3.746,3.734
50,3.734,3.742
50,3.742,3.761
50,3.761,3.78
50,3.78,3.784
50,3.784,3.82
50,3.82,3.758
50,3.758,3.742
50,3.742,3.813
50,3.813,3.827
50,3.827,3.767
50,3.767,3.824
50,3.824,3.871
50,3.871,3.809
50,3.809,3.875
50,3.875,3.804
50,3.804,3.911
50,3.911,3.775
50,3.775,3.757
50,3.757,3.794
50,3.794,3.787
50,3.787,3.786
50,3.786,3.855
50,3.855,3.838
50,3.838,3.826
50,3.826,3.819
50,3.819,3.857
50,3.857,3.765
50,3.765,3.857
50,3.857,3.745
50,3.745,3.762
50,3.762,3.747
50,3.747,3.769
50,3.769,3.751
50,3.751,3.804
50,3.804,3.805
50,3.805,3.796
