# setPoint, prevCurrent, Current
0.000,0.000,0.653
6.800,0.653,0.706
13.600,0.706,0.862
20.400,0.862,1.203
27.200,1.203,1.584
34.000,1.584,1.938
40.800,1.938,2.426
47.600,2.426,3.130
54.400,3.130,3.653
62.100,3.653,4.422
69.900,4.422,5.127
77.700,5.127,5.918
85.400,5.918,6.509
92.200,6.509,7.381
99.400,7.381,8.025
100.000,8.025,8.141
99.400,8.141,8.132
92.200,8.132,7.645
85.400,7.645,7.149
77.700,7.149,6.470
69.900,6.470,5.681
62.100,5.681,4.876
54.400,4.876,4.270
47.600,4.270,3.529
40.800,3.529,2.917
34.000,2.917,2.316
27.200,2.316,1.785
20.400,1.785,1.423
13.600,1.423,1.082
6.800,1.082,0.746
0.000,0.746,0.566
