# setPoint, prevsetPoint, Current
88.500,108.735,108.865
87.100,108.865,108.614
88.100,108.614,104.833
86.100,104.833,107.421
89.900,107.421,108.995
89.000,108.995,109.331
90.000,109.331,110.163
89.800,110.163,108.957
90.000,108.957,112.404
88.100,112.404,109.866
100.000,109.866,118.604
97.400,118.604,119.965
97.800,119.965,119.870
95.400,119.870,118.278
96.300,118.278,117.553
90.700,117.553,117.501
92.400,117.501,114.415
90.200,114.415,114.952
92.700,114.952,116.534
86.700,116.534,109.896
88.800,109.896,112.826
83.600,112.826,106.796
85.100,106.796,107.005
82.500,107.005,106.146
82.800,106.146,106.115
78.600,106.115,101.937
78.700,101.937,102.757
74.900,102.757,97.950
77.800,97.950,99.498
75.800,99.498,98.087
77.000,98.087,98.890
74.400,98.890,98.022
74.600,98.022,94.869
72.400,94.869,96.844
74.500,96.844,96.115
68.900,96.115,91.278
71.000,91.278,92.454
70.600,92.454,90.795
72.100,90.795,91.336
70.300,91.336,90.306
72.900,90.306,94.002
68.300,94.002,89.458
70.600,89.458,92.231
70.000,92.231,92.156
71.400,92.156,91.593
69.600,91.593,90.270
71.400,90.270,92.007
69.800,92.007,90.737
72.300,90.737,93.755
71.300,93.755,91.746
72.000,91.746,91.294
70.600,91.294,94.604
72.500,94.604,91.858
67.700,91.858,88.053
69.100,88.053,89.617
68.900,89.617,90.311
71.900,90.311,90.069
70.100,90.069,89.994
71.600,89.994,91.377
71.600,91.377,91.825
71.800,91.825,93.706
70.800,93.706,91.442
73.600,91.442,92.974
71.000,92.974,89.910
72.300,89.910,92.687
66.700,92.687,86.315
68.300,86.315,90.503
63.300,90.503,83.615
63.300,83.615,82.377
57.300,82.377,74.126
59.900,74.126,74.985
55.900,74.985,71.267
56.800,71.267,73.800
53.600,73.800,68.456
55.500,68.456,70.723
53.900,70.723,70.289
55.700,70.289,69.435
55.700,69.435,70.557
58.500,70.557,72.207
54.500,72.207,69.221
55.800,69.221,71.074
51.000,71.074,66.200
51.600,66.200,65.849
46.800,65.849,61.938
47.500,61.938,61.229
44.500,61.229,56.894
45.700,56.894,57.133
41.500,57.133,52.375
42.400,52.375,53.182
40.600,53.182,50.861
41.300,50.861,52.159
38.700,52.159,48.927
40.100,48.927,48.192
38.700,48.192,47.582
41.500,47.582,50.491
36.900,50.491,45.812
38.300,45.812,46.926
33.300,46.926,41.660
34.000,41.660,40.020
31.600,40.020,38.138
32.200,38.138,39.076
26.600,39.076,30.685
28.400,30.685,33.536
25.800,33.536,27.998
28.400,27.998,31.558
23.000,31.558,25.756
25.600,25.756,28.249
23.000,28.249,25.772
25.400,25.772,27.649
24.400,27.649,26.913
24.700,26.913,26.768
23.900,26.768,26.829
25.200,26.829,28.190
20.400,28.190,21.793
20.600,21.793,22.203
18.000,22.203,19.129
18.100,19.129,19.364
14.900,19.364,17.217
17.000,17.217,17.221
16.400,17.221,17.376
18.700,17.376,18.120
17.300,18.120,17.351
19.000,17.351,18.152
14.600,18.152,16.505
16.000,16.505,16.021
14.600,16.021,16.805
16.300,16.805,16.112
15.500,16.112,16.452
17.200,16.452,15.466
14.800,15.466,14.902
15.000,14.902,15.166
13.200,15.166,12.958
13.500,12.958,13.600
10.000,13.600,10.902
10.700,10.902,10.915
10.000,10.915,11.310
12.100,11.310,12.384
12.100,12.384,12.056
12.500,12.056,12.164
10.000,12.164,10.012
11.700,10.012,12.042
10.000,12.042,10.369
11.500,10.369,11.038
10.000,11.038,9.869
11.200,9.869,9.061
11.200,9.061,9.998
13.000,9.998,11.850
12.800,11.850,10.642
12.900,10.642,12.150
10.000,12.150,10.232
12.400,10.232,10.847
10.200,10.847,11.433
10.400,11.433,10.915
10.000,10.915,10.720
10.800,10.720,11.024
10.000,11.024,10.656
11.800,10.656,11.975
10.000,11.975,9.744
11.200,9.744,8.784
10.200,8.784,9.266
12.800,9.266,10.163
10.400,10.163,11.568
11.700,11.568,9.393
10.000,9.393,10.569
12.600,10.569,12.042
10.400,12.042,10.533
10.500,10.533,10.683
10.000,10.683,9.778
12.600,9.778,11.541
10.000,11.541,9.778
10.600,9.778,10.599
10.000,10.599,9.806
11.300,9.806,11.133
10.000,11.133,10.533
11.900,10.533,11.772
11.500,11.772,11.093
13.500,11.093,13.213
10.500,13.213,10.161
11.600,10.161,10.219
11.600,10.219,11.636
12.400,11.636,11.826
10.000,11.826,9.961
12.600,9.961,12.960
10.600,12.960,11.297
10.000,11.297,9.916
