# setPoint, prevCurrent, Current
60.800,1.485,4.687
23.800,4.687,1.794
19.100,1.794,1.652
31.400,1.652,2.236
64.000,2.236,5.057
68.000,5.057,5.331
87.500,5.331,7.357
56.700,7.357,4.931
76.000,4.931,6.266
5.500,6.266,0.887
80.000,0.887,6.584
43.200,6.584,3.462
22.500,3.462,1.780
65.600,1.780,5.119
57.000,5.119,4.644
69.900,4.644,5.711
98.800,5.711,8.643
58.800,8.643,5.133
87.800,5.133,7.644
59.100,7.644,5.283
74.700,5.283,6.354
84.700,6.354,7.326
95.200,7.326,8.296
15.100,8.296,1.435
6.000,1.435,0.881
84.400,0.881,7.254
66.800,7.254,5.830
76.000,5.830,6.444
39.300,6.444,3.091
97.400,3.091,8.581
0.000,8.581,0.765
92.900,0.765,7.972
46.300,7.972,3.799
44.500,3.799,3.636
79.800,3.636,6.691
5.700,6.691,0.886
48.200,0.886,3.453
11.000,3.453,1.162
18.200,1.162,1.462
19.800,1.462,1.540
72.700,1.540,5.992
73.300,5.992,6.059
18.400,6.059,1.565
64.700,1.565,5.105
29.500,5.105,2.334
88.300,2.334,7.523
68.200,7.523,5.907
13.600,5.907,1.361
0.000,1.361,0.757
68.900,0.757,5.573
43.500,5.573,3.460
95.900,3.460,8.222
51.400,8.222,4.275
94.700,4.275,8.163
73.500,8.163,6.617
80.600,6.617,6.988
67.400,6.988,6.004
27.900,6.004,1.667
72.800,1.667,6.005
17.000,6.005,1.552
49.200,1.552,3.718
48.700,3.718,3.745
88.400,3.745,7.744
95.400,7.744,8.616
64.800,8.616,5.632
83.100,5.632,7.102
31.300,7.102,2.566
31.800,2.566,2.555
59.100,2.555,4.759
78.400,4.759,6.867
84.000,6.867,7.280
30.200,7.280,2.444
0.800,2.444,0.781
64.900,0.781,5.151
17.000,5.151,1.504
99.700,1.504,8.799
7.100,8.799,0.981
80.700,0.981,6.927
1.800,6.927,0.801
87.700,0.801,7.485
21.300,7.485,1.715
65.500,1.715,5.204
54.200,5.204,4.448
26.600,4.448,2.062
87.900,2.062,7.707
89.000,7.707,7.821
80.200,7.821,7.052
76.500,7.052,6.862
0.400,6.862,0.784
34.800,0.784,2.462
7.700,2.462,0.901
27.900,0.901,1.857
92.800,1.857,8.248
23.700,8.248,1.841
46.300,1.841,3.523
0.600,3.523,0.747
73.500,0.747,5.985
95.300,5.985,8.336
93.700,8.336,8.213
67.900,8.213,5.956
52.100,5.956,4.452
10.500,4.452,1.154
50.900,1.154,3.834
15.200,3.834,1.400
43.300,1.400,3.063
17.500,3.063,1.619
47.600,1.619,3.511
35.400,3.511,2.741
32.600,2.741,2.477
64.000,2.477,5.230
75.700,5.230,6.290
30.200,6.290,2.493
93.500,2.493,8.211
30.900,8.211,2.496
63.200,2.496,5.187
46.900,5.187,3.964
59.200,3.964,4.803
27.100,4.803,2.160
22.800,2.160,1.820
69.200,1.820,5.753
79.400,5.753,6.734
64.500,6.734,5.715
28.700,5.715,2.323
7.400,2.323,0.948
21.400,0.948,1.572
92.700,1.572,8.199
75.400,8.199,6.807
47.200,6.807,3.942
52.100,3.942,4.319
1.900,4.319,0.763
11.300,0.763,0.954
100.000,0.954,8.844
25.500,8.844,1.858
18.000,1.858,1.598
15.400,1.598,1.402
0.000,1.402,0.743
7.600,0.743,0.841
6.800,0.841,0.821
17.000,0.821,1.206
16.200,1.206,1.180
26.600,1.180,1.689
24.800,1.689,1.720
34.200,1.720,2.329
30.400,2.329,2.165
41.000,2.165,2.893
35.100,2.893,2.653
41.900,2.653,2.941
41.300,2.941,2.937
47.700,2.937,3.519
47.600,3.519,3.510
51.000,3.510,3.873
50.700,3.873,3.867
58.100,3.867,4.586
54.200,4.586,4.371
65.600,4.371,5.330
63.700,5.330,5.291
68.900,5.291,5.792
65.400,5.792,5.566
70.000,5.566,5.935
65.100,5.935,5.675
67.900,5.675,5.746
63.000,5.746,5.391
70.400,5.391,5.944
66.300,5.944,5.669
77.900,5.669,6.683
72.700,6.683,6.386
79.300,6.386,6.954
77.500,6.954,6.708
77.500,6.708,6.862
71.800,6.862,6.326
76.000,6.326,6.574
71.600,6.574,6.255
79.400,6.255,6.825
74.700,6.825,6.559
85.300,6.559,7.598
80.800,7.598,7.163
89.200,7.163,8.044
86.200,8.044,7.795
90.000,7.795,8.045
85.000,8.045,7.630
87.000,7.630,7.976
84.600,7.976,7.814
90.000,7.814,8.184
88.600,8.184,7.990
90.000,7.990,8.086
100.000,8.086,9.244
96.600,9.244,8.970
100.000,8.970,9.199
100.000,9.199,9.441
100.000,9.441,9.165
91.400,9.165,8.686
92.800,8.686,8.799
86.000,8.799,8.088
87.100,8.088,8.152
77.100,8.152,7.366
77.900,7.366,7.395
71.700,7.395,6.843
75.100,6.843,6.965
66.500,6.965,6.231
72.200,6.231,6.510
69.000,6.510,6.345
74.700,6.345,6.683
67.900,6.683,6.344
71.800,6.344,6.590
68.400,6.590,6.354
71.500,6.354,6.429
61.100,6.429,5.701
62.100,5.701,5.566
57.900,5.566,5.231
60.900,5.231,5.374
50.700,5.374,4.592
52.300,4.592,4.591
50.100,4.591,4.543
56.100,4.543,4.806
47.500,4.806,4.204
48.700,4.204,4.197
45.500,4.197,4.059
45.600,4.059,3.901
38.600,3.901,3.402
39.800,3.402,3.286
34.800,3.286,2.952
39.800,2.952,3.111
29.200,3.111,2.445
35.000,2.445,2.724
28.200,2.724,2.350
32.900,2.350,2.560
20.900,2.560,1.787
21.600,1.787,1.698
17.600,1.698,1.632
19.800,1.632,1.623
19.200,1.623,1.662
19.500,1.662,1.632
12.100,1.632,1.370
15.600,1.370,1.373
10.000,1.373,1.057
