# setPoint, prevTorque, Torque
36.400,1.250,31.545
33.000,31.545,28.350
29.500,28.350,23.615
26.400,23.615,21.483
23.900,21.483,19.531
21.300,19.531,16.668
23.700,16.668,18.492
26.100,18.492,20.213
28.500,20.213,21.870
30.900,21.870,25.069
33.400,25.069,27.731
31.600,27.731,26.675
29.200,26.675,24.004
26.800,24.004,21.822
24.400,21.822,20.696
22.000,20.696,18.406
19.300,18.406,16.394
27.500,16.394,21.719
29.600,21.719,23.991
31.500,23.991,26.542
33.300,26.542,28.596
35.100,28.596,32.214
12.800,32.214,7.647
11.800,7.647,7.061
10.700,7.061,5.905
9.500,5.905,5.503
8.400,5.503,4.463
7.200,4.463,4.488
11.600,4.488,6.107
13.400,6.107,5.896
15.100,5.896,8.024
16.700,8.024,8.352
18.100,8.352,10.080
42.100,10.080,41.900
39.000,41.900,38.844
35.900,38.844,36.061
32.900,36.061,33.791
30.800,33.791,30.373
28.500,30.373,28.378
26.100,28.378,25.629
23.600,25.629,21.768
26.000,21.768,23.622
28.400,23.622,26.524
30.800,26.524,29.063
33.300,29.063,32.259
35.700,32.259,35.032
38.100,35.032,36.260
40.500,36.260,39.968
2.700,39.968,3.003
1.400,3.003,3.325
2.200,3.325,2.829
33.800,2.829,30.883
30.100,30.883,28.037
26.300,28.037,24.342
22.800,24.342,21.188
20.100,21.188,17.702
28.100,17.702,23.930
30.100,23.930,27.086
32.000,27.086,29.129
33.800,29.129,30.041
39.200,30.041,37.787
35.900,37.787,35.904
32.600,35.904,32.342
29.800,32.342,29.260
27.500,29.260,26.506
25.000,26.506,23.863
22.400,23.863,20.933
24.900,20.933,21.932
27.300,21.932,24.378
29.700,24.378,27.272
32.100,27.272,30.512
34.500,30.512,33.405
36.900,33.405,35.556
26.600,35.556,25.462
25.000,25.462,22.088
23.400,22.088,21.356
21.700,21.356,20.440
19.900,20.440,18.608
18.000,18.608,15.449
16.000,15.449,13.303
23.800,13.303,19.403
25.600,19.403,20.390
27.200,20.390,22.041
28.600,22.041,24.791
29.900,24.791,26.587
31.200,26.587,28.236
8.000,28.236,4.669
6.800,4.669,4.475
5.600,4.475,4.232
4.400,4.232,3.600
6.800,3.600,4.253
9.000,4.253,4.634
11.100,4.634,4.616
23.100,4.616,16.929
21.000,16.929,15.871
18.500,15.871,13.789
15.600,13.789,10.933
18.500,10.933,13.236
21.000,13.236,14.979
23.100,14.979,17.434
28.400,17.434,22.105
26.900,22.105,21.430
25.300,21.430,20.988
23.500,20.988,19.730
21.500,19.730,19.463
19.000,19.463,15.799
21.500,15.799,16.909
23.500,16.909,18.027
25.300,18.027,21.476
26.900,21.476,21.004
28.400,21.004,24.015
