# Actual Command, Previous Torque, Measured Torque, Predicted Command
86.000,0.000,6.710,7.558
85.700,6.710,6.615,7.218
93.300,6.615,7.420,8.270
92.700,7.420,7.604,8.474
6.000,7.604,0.666,-1.142
4.100,0.666,0.664,-0.846
87.500,0.664,7.102,8.090
2.000,7.102,0.586,-1.238
71.700,0.586,5.456,5.924
4.000,5.456,0.625,-1.108
9.600,0.625,0.766,-0.693
62.000,0.766,4.540,4.677
72.000,4.540,5.533,5.872
48.600,5.533,3.597,3.179
41.900,3.597,2.955,2.357
75.100,2.955,5.678,6.129
94.500,5.678,7.828,8.832
54.900,7.828,4.325,4.091
95.500,4.325,8.084,9.211
0.100,8.084,0.623,-1.227
50.800,0.623,3.372,3.065
42.700,3.372,2.787,2.128
98.100,2.787,8.080,9.265
24.000,8.080,1.535,0.120
93.300,1.535,7.835,9.000
94.600,7.835,7.847,8.768
7.900,7.847,0.740,-1.042
0.400,0.740,0.667,-0.845
33.400,0.667,1.854,0.900
22.000,1.854,1.318,0.070
24.200,1.318,1.412,0.230
51.900,1.412,3.595,3.346
62.500,3.595,4.537,4.560
46.500,4.537,3.235,2.713
16.200,3.235,1.153,-0.230
15.900,1.153,1.107,-0.211
21.600,1.107,1.192,-0.084
70.900,1.192,5.508,5.971
7.900,5.508,0.761,-0.908
29.000,0.761,1.555,0.461
18.600,1.555,1.133,-0.189
24.000,1.133,1.381,0.192
63.200,1.381,4.734,4.918
31.800,4.734,2.128,1.127
33.800,2.128,2.204,1.345
44.600,2.204,2.912,2.353
18.900,2.912,1.297,-0.005
52.800,1.297,3.615,3.378
73.600,3.615,5.755,6.206
85.700,5.755,7.060,7.838
6.500,7.060,0.719,-1.039
58.200,0.719,4.141,4.131
10.400,4.141,0.768,-0.838
39.600,0.768,2.379,1.652
7.000,2.379,0.729,-0.821
33.800,0.729,2.006,1.117
83.300,2.006,6.698,7.514
22.800,6.698,1.382,-0.043
54.000,1.382,3.630,3.396
27.400,3.630,1.755,0.633
51.800,1.755,3.457,3.139
4.500,3.457,0.676,-0.946
85.000,0.676,7.028,7.994
41.900,7.028,3.019,2.301
60.500,3.019,4.437,4.446
14.600,4.437,1.035,-0.456
45.200,1.035,2.958,2.465
45.200,2.958,3.000,2.447
51.800,3.000,3.560,3.233
54.500,3.560,3.856,3.622
97.700,3.856,8.196,9.371
10.400,8.196,0.801,-0.967
52.000,0.801,3.493,3.227
72.900,3.493,5.682,6.113
38.200,5.682,2.671,1.865
70.500,2.671,5.419,5.793
33.100,5.419,2.191,1.188
91.000,2.191,7.551,8.612
11.000,7.551,0.860,-0.851
67.000,0.860,5.054,5.372
61.100,5.054,4.646,4.649
25.100,4.646,1.680,0.481
74.700,1.680,5.756,6.283
16.500,5.756,1.096,-0.423
53.100,1.096,3.645,3.428
20.000,3.645,1.291,-0.045
33.800,1.291,2.123,1.263
49.500,2.123,3.361,2.990
52.300,3.361,3.614,3.293
1.800,3.614,0.614,-1.045
55.200,0.614,3.792,3.652
55.000,3.792,3.915,3.695
44.800,3.915,3.163,2.637
56.500,3.163,4.063,3.925
67.500,4.063,5.156,5.383
99.900,5.156,8.403,9.583
33.000,8.403,2.123,0.960
38.600,2.123,2.515,1.791
24.800,2.515,1.677,0.567
96.700,1.677,8.211,9.472
