# setPoint, prevsetPoint, Current
65.50,73.50,80.94
67.30,65.50,80.47
61.70,67.30,73.36
62.30,61.70,73.74
57.30,62.30,66.97
61.10,57.30,72.19
59.50,61.10,71.96
62.20,59.50,72.40
60.40,62.20,71.21
60.70,60.40,71.34
60.70,60.70,73.36
64.00,60.70,75.26
62.00,64.00,74.36
65.20,62.00,74.44
63.60,65.20,73.95
66.00,63.60,77.96
65.60,66.00,77.07
66.50,65.60,78.12
63.50,66.50,74.49
64.20,63.50,74.94
60.60,64.20,72.13
63.60,60.60,74.89
57.60,63.60,70.10
60.70,57.60,73.34
54.70,60.70,66.57
58.10,54.70,69.49
57.50,58.10,67.51
59.90,57.50,72.46
59.90,59.90,70.61
60.50,59.90,71.61
59.50,60.50,70.28
60.00,59.50,70.05
56.00,60.00,67.00
57.00,56.00,68.84
50.40,57.00,60.02
53.70,50.40,62.22
52.30,53.70,61.11
56.00,52.30,64.35
54.20,56.00,63.14
54.80,54.20,64.06
52.80,54.80,62.01
53.80,52.80,62.56
46.00,53.80,54.19
47.20,46.00,52.24
40.00,47.20,44.94
40.60,40.00,45.14
35.80,40.60,37.27
36.80,35.80,41.11
32.00,36.80,32.77
33.50,32.00,34.04
32.90,33.50,32.95
35.40,32.90,34.40
31.40,35.40,30.70
33.50,31.40,32.85
26.30,33.50,25.85
27.20,26.30,25.95
19.60,27.20,15.93
19.70,19.60,15.88
18.50,19.70,13.75
20.80,18.50,15.31
13.20,20.80,8.25
16.70,13.20,8.40
15.70,16.70,8.20
16.40,15.70,8.04
16.00,16.40,8.32
17.00,16.00,10.08
10.80,17.00,6.38
14.00,10.80,8.24
9.20,14.00,2.74
9.40,9.20,4.97
8.20,9.40,5.13
9.90,8.20,4.87
4.90,9.90,1.22
6.50,4.90,0.80
1.50,6.50,-3.51
2.40,1.50,-3.20
0.00,2.40,-2.96
2.00,0.00,-2.84
0.00,2.00,33.34
2.60,0.00,21.39
0.00,2.60,-3.00
0.30,0.00,-1.05
0.00,0.30,-3.47
0.70,0.00,-2.25
0.00,0.70,-4.08
3.20,0.00,-2.66
