# Torque, Command, State
53.06,45.71,-1.00
50.10,43.85,-1.00
47.13,41.97,-1.00
50.34,44.74,0.00
53.56,47.52,0.00
56.77,50.29,0.00
59.98,53.06,0.00
63.20,55.84,0.00
66.41,58.61,0.00
69.62,61.38,0.00
72.84,64.16,0.00
76.05,66.93,0.00
79.26,69.55,1.00
82.48,71.98,1.00
85.69,74.42,1.00
10.71,13.29,-1.00
8.30,10.77,-1.00
5.89,8.13,-1.00
10.71,17.59,1.00
107.12,91.95,1.00
104.28,88.26,0.00
101.45,84.56,0.00
98.61,80.87,0.00
95.78,77.18,0.00
92.94,74.27,-1.00
90.11,71.74,-1.00
87.27,69.32,-1.00
84.44,67.01,-1.00
81.60,64.80,-1.00
78.76,62.67,-1.00
75.93,60.61,-1.00
73.09,58.62,-1.00
70.26,56.70,-1.00
67.42,54.82,-1.00
64.59,52.98,-1.00
61.75,51.17,-1.00
58.92,49.38,-1.00
61.93,52.11,0.00
64.94,54.84,0.00
67.95,57.57,0.00
70.97,60.29,0.00
73.98,63.02,0.00
76.99,65.75,0.00
80.01,68.48,0.00
83.02,71.21,0.00
86.03,73.94,0.00
89.04,76.67,0.00
92.06,79.31,1.00
95.07,81.68,1.00
98.08,84.11,1.00
101.09,86.61,1.00
104.11,89.21,1.00
107.12,91.95,1.00
