# Actual Command, Previous Torque, Measured Torque, Predicted Command
86.000,0.000,6.710,8.622
85.700,6.710,6.615,8.389
93.300,6.615,7.420,10.277
92.700,7.420,7.604,10.684
6.000,7.604,0.666,-13.112
4.100,0.666,0.664,-13.122
87.500,0.664,7.102,9.553
2.000,7.102,0.586,-13.519
71.700,0.586,5.456,5.325
4.000,5.456,0.625,-13.320
9.600,0.625,0.766,-12.608
62.000,0.766,4.540,2.576
72.000,4.540,5.533,5.542
48.600,5.533,3.597,-0.594
41.900,3.597,2.955,-2.970
75.100,2.955,5.678,5.946
94.500,5.678,7.828,11.166
54.900,7.828,4.325,1.885
95.500,4.325,8.084,11.702
0.100,8.084,0.623,-13.330
50.800,0.623,3.372,-1.406
42.700,3.372,2.787,-3.623
98.100,2.787,8.080,11.694
24.000,8.080,1.535,-8.930
93.300,1.535,7.835,11.181
94.600,7.835,7.847,11.207
7.900,7.847,0.740,-12.738
0.400,0.740,0.667,-13.107
33.400,0.667,1.854,-7.501
22.000,1.854,1.318,-9.934
24.200,1.318,1.412,-9.496
51.900,1.412,3.595,-0.601
62.500,3.595,4.537,2.567
46.500,4.537,3.235,-1.911
16.200,3.235,1.153,-10.715
15.900,1.153,1.107,-10.935
21.600,1.107,1.192,-10.529
70.900,1.192,5.508,5.472
7.900,5.508,0.761,-12.633
29.000,0.761,1.555,-8.839
18.600,1.555,1.133,-10.811
24.000,1.133,1.381,-9.640
63.200,1.381,4.734,3.184
31.800,4.734,2.128,-6.317
33.800,2.128,2.204,-5.995
44.600,2.204,2.912,-3.136
18.900,2.912,1.297,-10.033
52.800,1.297,3.615,-0.530
73.600,3.615,5.755,6.157
85.700,5.755,7.060,9.456
6.500,7.060,0.719,-12.844
58.200,0.719,4.141,1.279
10.400,4.141,0.768,-12.598
39.600,0.768,2.379,-5.265
7.000,2.379,0.729,-12.794
33.800,0.729,2.006,-6.839
83.300,2.006,6.698,8.592
22.800,6.698,1.382,-9.635
54.000,1.382,3.630,-0.477
27.400,3.630,1.755,-7.939
51.800,1.755,3.457,-1.096
4.500,3.457,0.676,-13.061
85.000,0.676,7.028,9.381
41.900,7.028,3.019,-2.725
60.500,3.019,4.437,2.247
14.600,4.437,1.035,-11.283
45.200,1.035,2.958,-2.958
45.200,2.958,3.000,-2.797
51.800,3.000,3.560,-0.726
54.500,3.560,3.856,0.313
97.700,3.856,8.196,11.932
10.400,8.196,0.801,-12.433
52.000,0.801,3.493,-0.966
72.900,3.493,5.682,5.957
38.200,5.682,2.671,-4.082
70.500,2.671,5.419,5.219
33.100,5.419,2.191,-6.050
91.000,2.191,7.551,10.567
11.000,7.551,0.860,-12.140
67.000,0.860,5.054,4.156
61.100,5.054,4.646,2.910
25.100,4.646,1.680,-8.274
74.700,1.680,5.756,6.160
16.500,5.756,1.096,-10.988
53.100,1.096,3.645,-0.423
20.000,3.645,1.291,-10.061
33.800,1.291,2.123,-6.338
49.500,2.123,3.361,-1.446
52.300,3.361,3.614,-0.533
1.800,3.614,0.614,-13.376
55.200,0.614,3.792,0.092
55.000,3.792,3.915,0.516
44.800,3.915,3.163,-2.180
56.500,3.163,4.063,1.018
67.500,4.063,5.156,4.458
99.900,5.156,8.403,12.348
33.000,8.403,2.123,-6.338
38.600,2.123,2.515,-4.709
24.800,2.515,1.677,-8.287
96.700,1.677,8.211,11.962
