# setPoint, prevCurrent, Current
0.000,0.000,0.628
6.800,0.628,0.694
13.600,0.694,0.759
20.400,0.759,1.073
27.200,1.073,1.478
34.000,1.478,1.942
40.800,1.942,2.409
47.600,2.409,2.961
54.400,2.961,3.615
62.100,3.615,4.404
69.900,4.404,5.178
77.700,5.178,5.834
85.400,5.834,6.500
92.200,6.500,7.170
99.400,7.170,8.026
100.000,8.026,8.142
99.400,8.142,8.181
92.200,8.181,7.599
85.400,7.599,7.210
77.700,7.210,6.355
69.900,6.355,5.579
62.100,5.579,4.879
54.400,4.879,4.157
47.600,4.157,3.499
40.800,3.499,2.878
34.000,2.878,2.400
27.200,2.400,1.765
20.400,1.765,1.326
13.600,1.326,1.009
6.800,1.009,0.656
0.000,0.656,0.597
