# setPoint, prevCurrent, Current
100.000,0.000,nan
100.000,nan,7.315
100.000,7.315,7.341
100.000,7.341,7.494
100.000,7.494,7.783
100.000,7.783,7.929
100.000,7.929,8.204
100.000,8.204,7.768
100.000,7.768,7.915
100.000,7.915,7.884
100.000,7.884,7.751
100.000,7.751,7.884
100.000,7.884,7.922
100.000,7.922,8.014
100.000,8.014,8.064
100.000,8.064,8.109
100.000,8.109,7.869
100.000,7.869,8.302
100.000,8.302,7.869
100.000,7.869,7.962
100.000,7.962,7.999
100.000,7.999,8.165
100.000,8.165,8.396
100.000,8.396,8.520
100.000,8.520,8.405
100.000,8.405,8.382
100.000,8.382,7.774
100.000,7.774,8.132
100.000,8.132,7.950
100.000,7.950,7.891
100.000,7.891,7.839
100.000,7.839,7.742
100.000,7.742,7.815
100.000,7.815,7.754
100.000,7.754,7.899
100.000,7.899,8.086
100.000,8.086,8.016
100.000,8.016,8.095
100.000,8.095,8.274
100.000,8.274,8.151
100.000,8.151,8.158
100.000,8.158,7.985
100.000,7.985,8.142
100.000,8.142,8.424
100.000,8.424,8.413
100.000,8.413,8.787
100.000,8.787,8.323
100.000,8.323,8.480
100.000,8.480,8.812
100.000,8.812,8.162
100.000,8.162,8.456
100.000,8.456,8.622
100.000,8.622,8.596
100.000,8.596,8.758
100.000,8.758,8.788
100.000,8.788,9.022
100.000,9.022,7.433
100.000,7.433,8.139
100.000,8.139,7.839
100.000,7.839,8.032
