# setPoint, prevCurrent, Current
13.800,0.718,0.947
58.700,0.947,4.572
24.500,4.572,1.833
54.500,1.833,4.077
49.400,4.077,3.817
85.000,3.817,7.240
85.700,7.240,7.585
93.800,7.585,8.300
98.100,8.300,8.718
13.400,8.718,1.344
95.300,1.344,8.287
86.300,8.287,7.797
64.500,7.797,5.708
49.100,5.708,4.151
19.900,4.151,1.635
29.600,1.635,2.103
71.600,2.103,5.877
80.500,5.877,6.953
77.200,6.953,6.647
93.500,6.647,8.154
14.200,8.154,1.401
75.600,1.401,6.256
72.500,6.256,6.158
19.800,6.158,1.575
86.400,1.575,7.297
72.500,7.297,6.331
90.400,6.331,7.958
66.900,7.958,5.950
10.800,5.950,1.227
13.000,1.227,1.108
69.500,1.108,5.692
59.000,5.692,4.967
68.800,4.967,5.586
37.800,5.586,2.957
3.000,2.957,0.748
63.600,0.748,5.086
24.500,5.086,1.848
81.100,1.848,6.823
95.100,6.823,8.312
17.300,8.312,1.521
67.300,1.521,5.502
55.900,5.502,4.728
6.300,4.728,0.874
61.400,0.874,4.856
42.300,4.856,3.331
90.200,3.331,7.821
25.100,7.821,1.854
24.400,1.854,1.847
50.300,1.847,3.756
57.900,3.756,4.523
28.000,4.523,2.179
66.100,2.179,5.332
66.000,5.332,5.385
52.200,5.385,4.266
68.000,4.266,5.468
65.000,5.468,5.391
23.300,5.391,1.797
23.100,1.797,1.790
7.900,1.790,0.881
3.900,0.881,0.753
58.200,0.753,4.551
90.500,4.551,8.015
28.800,8.015,2.217
75.100,2.217,6.261
18.200,6.261,1.584
15.600,1.584,1.484
74.700,1.484,6.347
34.300,6.347,2.599
74.700,2.599,6.056
88.600,6.056,7.685
78.200,7.685,6.953
40.800,6.953,3.329
55.000,3.329,4.547
19.200,4.547,1.625
2.000,1.625,0.704
95.700,0.704,8.413
79.500,8.413,7.207
33.500,7.207,2.597
70.600,2.597,5.840
46.600,5.840,3.822
62.700,3.822,5.168
60.100,5.168,4.995
94.200,4.995,8.325
11.900,8.325,1.365
85.200,1.365,7.349
11.800,7.349,1.275
66.700,1.275,5.523
74.600,5.523,6.085
77.600,6.085,6.581
61.800,6.581,5.312
56.200,5.312,4.839
91.700,4.839,8.015
16.400,8.015,1.513
14.700,1.513,1.457
48.600,1.457,3.710
87.900,3.710,7.732
17.700,7.732,1.512
23.100,1.512,1.683
55.700,1.683,4.358
95.700,4.358,8.540
84.100,8.540,7.742
44.500,7.742,3.651
87.400,3.651,7.792
96.800,7.792,8.669
66.500,8.669,6.042
17.300,6.042,1.550
64.300,1.550,5.319
34.700,5.319,2.685
35.700,2.685,2.768
62.100,2.768,4.971
96.900,4.971,8.681
43.200,8.681,3.468
91.900,3.468,8.045
42.500,8.045,3.444
45.100,3.444,3.625
24.300,3.625,1.911
22.700,1.911,1.870
68.800,1.870,5.715
80.200,5.715,6.867
34.100,6.867,2.597
60.700,2.597,4.889
0.900,4.889,0.684
73.200,0.684,6.173
48.500,6.173,3.919
18.900,3.919,1.636
20.200,1.636,1.650
94.400,1.650,8.392
9.500,8.392,1.004
0.100,1.004,0.770
29.500,0.770,1.906
79.800,1.906,6.857
79.200,6.857,6.851
86.500,6.851,7.617
0.700,7.617,0.736
86.300,0.736,7.430
27.300,7.430,2.050
20.500,2.050,1.703
21.800,1.703,1.698
81.600,1.698,7.185
70.300,7.185,6.240
30.000,6.240,2.412
34.700,2.412,2.536
14.900,2.536,1.381
42.500,1.381,3.004
39.900,3.004,2.929
23.900,2.929,1.754
68.400,1.754,5.738
85.100,5.738,7.471
76.200,7.471,6.778
43.800,6.778,3.541
31.300,3.541,2.534
90.400,2.534,7.915
72.300,7.915,6.568
61.800,6.568,5.507
92.500,5.507,8.288
81.800,8.288,7.480
42.500,7.480,3.592
97.800,3.592,8.785
68.500,8.785,6.355
4.300,6.355,0.802
57.200,0.802,4.639
52.100,4.639,4.121
92.000,4.121,8.053
60.900,8.053,5.369
72.200,5.369,6.160
46.900,6.160,3.830
67.300,3.830,5.637
94.300,5.637,8.466
27.300,8.466,2.242
82.100,2.242,7.136
12.000,7.136,1.308
16.900,1.308,1.416
59.800,1.416,4.761
76.100,4.761,6.424
4.900,6.424,0.833
21.700,0.833,1.562
89.700,1.562,7.910
23.100,7.910,1.773
43.000,1.773,3.140
62.800,3.140,5.103
18.700,5.103,1.592
93.100,1.592,8.159
68.200,8.159,6.194
50.500,6.194,4.360
31.500,4.360,2.597
73.000,2.597,6.147
20.900,6.147,1.667
34.700,1.667,2.435
49.600,2.435,3.838
52.300,3.838,3.985
73.600,3.985,6.304
3.500,6.304,0.800
46.500,0.800,3.477
13.700,3.477,1.401
54.500,1.401,4.242
63.000,4.242,5.098
91.600,5.098,8.067
38.200,8.067,3.019
37.900,3.019,3.017
43.700,3.017,3.493
99.700,3.493,9.026
24.700,9.026,1.919
69.600,1.919,5.878
