# setPoint, prevCurrent, Current
0.000,0.000,0.735
6.800,0.735,0.799
13.600,0.799,0.850
20.400,0.850,1.205
27.200,1.205,1.446
34.000,1.446,1.859
40.800,1.859,2.390
47.600,2.390,2.980
54.400,2.980,3.614
62.100,3.614,4.196
69.900,4.196,4.854
77.700,4.854,5.772
85.400,5.772,6.532
92.200,6.532,7.151
99.400,7.151,7.881
100.000,7.881,8.042
99.400,8.042,8.023
92.200,8.023,7.551
85.400,7.551,6.883
77.700,6.883,6.214
69.900,6.214,5.579
62.100,5.579,4.757
54.400,4.757,4.070
47.600,4.070,3.565
40.800,3.565,2.895
34.000,2.895,2.319
27.200,2.319,1.792
20.400,1.792,1.383
13.600,1.383,1.060
6.800,1.060,0.788
0.000,0.788,0.728
