# setPoint, prevCurrent, Current
14.600,0.000,0.724
65.400,0.724,4.531
35.200,4.531,2.257
70.100,2.257,5.182
78.400,5.182,5.927
89.000,5.927,7.165
54.300,7.165,4.016
11.300,4.016,0.788
36.000,0.788,2.123
82.700,2.123,6.513
91.900,6.513,7.449
7.900,7.449,0.678
64.300,0.678,4.608
56.200,4.608,4.053
10.300,4.053,0.798
5.200,0.798,0.661
84.000,0.661,6.617
98.900,6.617,8.240
54.600,8.240,4.064
14.100,4.064,0.845
32.700,0.845,1.806
35.600,1.806,1.953
97.700,1.953,8.107
63.400,8.107,4.887
41.100,4.887,2.731
80.000,2.731,6.278
51.100,6.278,3.865
59.200,3.865,4.352
17.200,4.352,0.977
58.100,0.977,4.000
80.300,4.000,6.218
40.200,6.218,2.653
18.600,2.653,1.169
7.000,1.169,0.640
49.300,0.640,3.039
28.000,3.039,1.674
34.300,1.674,2.049
22.300,2.049,1.317
34.600,1.317,2.033
79.500,2.033,6.251
49.800,6.251,3.568
78.600,3.568,6.031
88.500,6.031,7.152
80.100,7.152,6.529
6.000,6.529,0.685
73.300,0.685,5.572
88.900,5.572,7.100
14.000,7.100,0.832
1.600,0.832,0.577
37.000,0.577,2.062
47.900,2.062,3.060
37.900,3.060,2.345
21.600,2.345,1.196
89.100,1.196,7.227
92.600,7.227,7.642
34.500,7.642,2.118
71.600,2.118,5.473
21.900,5.473,1.282
45.800,1.282,2.836
62.400,2.836,4.434
72.500,4.434,5.530
71.000,5.530,5.351
21.200,5.351,1.204
40.100,1.204,2.416
83.700,2.416,6.711
62.200,6.711,4.845
0.100,4.845,0.513
19.300,0.513,0.966
36.300,0.966,1.907
75.200,1.907,5.605
54.000,5.605,3.958
43.500,3.958,3.071
75.400,3.071,5.838
8.300,5.838,0.670
96.600,0.670,8.085
37.200,8.085,2.417
71.600,2.417,5.469
97.800,5.469,8.316
12.300,8.316,0.837
43.900,0.837,2.639
76.800,2.639,5.907
22.300,5.907,1.244
63.000,1.244,4.518
73.100,4.518,5.581
49.700,5.581,3.620
84.200,3.620,6.603
36.300,6.603,2.293
76.900,2.293,5.881
28.000,5.881,1.659
2.100,1.659,0.550
8.700,0.550,0.671
69.800,0.671,5.149
7.800,5.149,0.668
54.200,0.668,3.592
11.600,3.592,0.786
66.900,0.786,4.981
79.900,4.981,6.308
45.800,6.308,3.166
69.400,3.166,5.071
94.700,5.071,7.824
0.000,7.824,0.543
7.600,0.543,0.606
5.800,0.606,0.656
12.400,0.656,0.738
10.200,0.738,0.721
14.600,0.721,0.761
11.700,0.761,0.700
19.100,0.700,0.989
15.600,0.989,0.793
17.400,0.793,0.909
14.700,0.909,0.853
19.900,0.853,0.996
18.000,0.996,0.954
19.000,0.954,0.906
18.500,0.906,0.951
22.100,0.951,1.060
18.400,1.060,1.009
23.600,1.009,1.149
20.300,1.149,1.057
22.300,1.057,1.006
19.400,1.006,1.030
25.800,1.030,1.251
22.700,1.251,1.098
22.900,1.098,1.122
20.000,1.122,1.044
27.200,1.044,1.242
26.900,1.242,1.222
34.900,1.222,1.835
31.300,1.835,1.695
35.700,1.695,1.895
32.400,1.895,1.767
36.800,1.767,1.977
33.200,1.977,1.731
33.600,1.731,1.801
33.000,1.801,1.818
37.200,1.818,2.030
36.600,2.030,2.008
43.200,2.008,2.508
42.500,2.508,2.500
45.300,2.500,2.670
44.700,2.670,2.719
51.700,2.719,3.453
48.100,3.453,3.183
54.900,3.183,3.598
53.400,3.598,3.516
57.400,3.516,3.882
55.600,3.882,3.884
58.600,3.884,4.082
56.500,4.082,3.910
60.500,3.910,4.132
60.400,4.132,4.113
66.400,4.113,4.782
62.700,4.782,4.693
67.500,4.693,4.951
67.300,4.951,4.954
75.300,4.954,5.653
73.400,5.653,5.557
78.800,5.557,6.111
77.000,6.111,6.039
83.400,6.039,6.708
82.200,6.708,6.587
85.400,6.587,6.700
84.600,6.700,6.714
89.000,6.714,7.209
87.300,7.209,7.263
95.000,7.263,8.012
93.900,8.012,7.870
95.000,7.870,7.873
91.200,7.873,7.442
95.000,7.442,7.928
91.100,7.928,7.665
91.100,7.665,7.801
90.100,7.801,7.725
95.000,7.725,7.958
91.900,7.958,7.657
94.900,7.657,7.610
94.300,7.610,7.772
95.000,7.772,7.863
91.200,7.863,7.654
92.800,7.654,7.636
89.400,7.636,7.612
95.000,7.612,8.126
93.100,8.126,8.014
94.700,8.014,7.928
91.600,7.928,7.734
