# setPoint, prevCurrent, Current
56.500,0.000,4.154
16.100,4.154,1.207
52.100,1.207,3.686
84.000,3.686,6.949
98.400,6.949,8.296
72.400,8.296,6.169
88.900,6.169,7.490
97.200,7.490,8.278
9.000,8.278,0.913
33.300,0.913,2.101
64.400,2.101,4.963
92.700,4.963,7.725
35.800,7.725,2.558
64.000,2.558,4.982
36.000,4.982,2.676
36.300,2.676,2.760
99.400,2.760,8.587
51.700,8.587,4.230
55.300,4.230,4.316
93.700,4.316,7.975
29.300,7.975,2.135
87.900,2.135,7.363
83.200,7.363,7.179
73.800,7.179,6.395
26.500,6.395,1.931
55.400,1.931,4.183
88.900,4.183,7.479
24.500,7.479,1.782
62.300,1.782,4.861
44.200,4.861,3.527
80.500,3.527,6.695
0.200,6.695,0.723
49.200,0.723,3.423
79.700,3.423,6.571
28.800,6.571,2.052
83.800,2.052,7.081
21.900,7.081,1.655
99.800,1.655,8.595
4.600,8.595,0.769
11.900,0.769,0.866
4.200,0.866,0.780
64.700,0.780,5.045
10.500,5.045,0.956
15.800,0.956,1.177
33.000,1.177,2.086
85.400,2.086,7.146
2.000,7.146,0.769
19.700,0.769,1.346
30.400,1.346,1.854
19.700,1.854,1.465
34.400,1.465,2.140
41.400,2.140,2.819
33.700,2.819,2.284
89.400,2.284,7.549
32.800,7.549,2.397
69.500,2.397,5.622
8.400,5.622,0.910
34.800,0.910,2.285
58.000,2.285,4.436
92.700,4.436,7.817
64.500,7.817,5.477
7.600,5.477,0.869
11.600,0.869,0.970
63.100,0.970,4.964
53.900,4.964,4.184
72.500,4.184,5.814
26.800,5.814,1.919
35.400,1.919,2.519
96.900,2.519,8.307
1.100,8.307,0.689
46.400,0.689,3.167
94.900,3.167,8.161
32.400,8.161,2.419
61.000,2.419,4.712
68.600,4.712,5.428
79.600,5.428,6.568
43.000,6.568,3.287
66.900,3.287,5.383
54.200,5.383,4.421
3.500,4.421,0.770
89.300,0.770,7.496
35.600,7.496,2.682
81.100,2.682,6.601
72.900,6.601,6.149
20.300,6.149,1.555
45.600,1.555,3.293
79.500,3.293,6.526
73.500,6.526,6.168
56.400,6.168,4.786
55.000,4.786,4.625
89.800,4.625,7.792
16.200,7.792,1.385
31.400,1.385,2.023
4.300,2.023,0.793
77.200,0.793,6.386
82.800,6.386,6.941
69.100,6.941,5.802
19.500,5.802,1.558
87.100,1.558,7.258
91.300,7.258,7.913
89.800,7.913,7.752
70.300,7.752,6.108
26.700,6.108,1.898
64.000,1.898,5.045
49.100,5.045,3.980
26.700,3.980,2.012
36.400,2.012,2.572
46.300,2.572,3.437
31.100,3.437,2.326
67.900,2.326,5.457
15.200,5.457,1.338
80.100,1.338,6.659
40.300,6.659,3.151
8.500,3.151,0.946
11.000,0.946,0.951
66.200,0.951,5.199
8.600,5.199,0.912
8.200,0.912,0.860
97.000,0.860,8.432
66.500,8.432,5.783
36.700,5.783,2.744
97.900,2.744,8.468
52.400,8.468,4.294
9.600,4.294,0.943
68.500,0.943,5.450
53.200,5.450,4.201
68.000,4.201,5.420
65.100,5.420,5.224
22.800,5.224,1.672
10.500,1.672,1.064
23.100,1.064,1.611
98.700,1.611,8.689
80.300,8.689,7.161
64.600,7.161,5.548
18.100,5.548,1.518
69.300,1.518,5.632
85.600,5.632,7.218
39.200,7.218,3.032
89.300,3.032,7.633
51.700,7.633,4.309
32.200,4.309,2.594
30.100,2.594,2.383
12.900,2.383,1.219
